fishnet_id,date,day_of_year,latitude,longitude,forest_area,region_ci,nsr_numerical_code,ffmc_interpolated,logit,probability
6610,2020-08-01,214,51.6214,-115.5679,Calgary Forest Area,Slopes,7,92.3,-8.359238971269,0.000234167669
6680,2020-08-01,214,51.5315,-115.5668,Calgary Forest Area,Slopes,8,92.8,-7.365059314747,0.00063258744
6681,2020-08-01,214,51.5321,-115.4226,Calgary Forest Area,Slopes,7,88.8,-6.491276241897,0.001514315579
6682,2020-08-01,214,51.5325,-115.2784,Calgary Forest Area,Slopes,10,82.1,-4.899989943473,0.007391615128
6683,2020-08-01,214,51.5328,-115.1341,Calgary Forest Area,Slopes,10,74.1,-4.900087977784,0.007390895887
6684,2020-08-01,214,51.5329,-114.9899,Calgary Forest Area,Slopes,10,69.1,-5.870038056533,0.002814820328
6685,2020-08-01,214,51.5328,-114.8457,Calgary Forest Area,Slopes,10,67.6,-5.362855738485,0.004665630553
6686,2020-08-01,214,51.5325,-114.7015,Calgary Forest Area,Slopes,11,67.4,-5.707067581533,0.003311399148
6750,2020-08-01,214,51.4415,-115.5657,Calgary Forest Area,Slopes,7,93.1,-9.061242506509,0.000116065186
6751,2020-08-01,214,51.4421,-115.4217,Calgary Forest Area,Slopes,7,88.4,-8.949436762441,0.000129793405
6752,2020-08-01,214,51.4426,-115.2778,Calgary Forest Area,Slopes,7,81.5,-7.336401171062,0.000650966517
6753,2020-08-01,214,51.4428,-115.1339,Calgary Forest Area,Slopes,10,73.3,-4.928773638779,0.007183396482
6754,2020-08-01,214,51.4429,-114.9899,Calgary Forest Area,Slopes,10,68.8,-4.392154957807,0.012222789718
6755,2020-08-01,214,51.4428,-114.846,Calgary Forest Area,Slopes,10,68.0,-4.910173846453,0.007317269654
6756,2020-08-01,214,51.4425,-114.702,Calgary Forest Area,Slopes,11,68.2,-5.935663584835,0.002636498508
6820,2020-08-01,214,51.3516,-115.5646,Calgary Forest Area,Slopes,7,93.5,-7.453098890481,0.000579306786
6821,2020-08-01,214,51.3522,-115.4209,Calgary Forest Area,Slopes,8,88.6,-7.247978192262,0.000711105646
6822,2020-08-01,214,51.3526,-115.2773,Calgary Forest Area,Slopes,7,82.0,-7.262095611113,0.000701144189
6823,2020-08-01,214,51.3529,-115.1336,Calgary Forest Area,Slopes,10,74.7,-5.54569258197,0.003889054467
6824,2020-08-01,214,51.353,-114.9899,Calgary Forest Area,Slopes,9,70.5,-4.315090202276,0.013189067426
6825,2020-08-01,214,51.3529,-114.8463,Calgary Forest Area,Slopes,11,69.6,-5.760730531743,0.003138926567
6826,2020-08-01,214,51.3526,-114.7026,Calgary Forest Area,Slopes,11,69.8,-5.762121816207,0.003134576144
6891,2020-08-01,214,51.2622,-115.4201,Calgary Forest Area,Slopes,8,89.5,-5.783617379387,0.003068120205
6892,2020-08-01,214,51.2627,-115.2767,Calgary Forest Area,Slopes,8,83.6,-6.992987119305,0.000917456861
6893,2020-08-01,214,51.2629,-115.1333,Calgary Forest Area,Slopes,9,77.6,-5.831429514294,0.002925297486
6894,2020-08-01,214,51.263,-114.99,Calgary Forest Area,Slopes,9,73.7,-4.384880329248,0.012310931542
6895,2020-08-01,214,51.2629,-114.8466,Calgary Forest Area,Slopes,9,72.3,-4.194913031194,0.014848259447
6896,2020-08-01,214,51.2626,-114.7032,Calgary Forest Area,Slopes,9,72.0,-4.375950272708,0.012419989659
6961,2020-08-01,214,51.1723,-115.4193,Calgary Forest Area,Slopes,9,90.9,-4.402788936554,0.012095065224
6962,2020-08-01,214,51.1727,-115.2762,Calgary Forest Area,Slopes,7,86.0,-8.597575269983,0.000184518689
6963,2020-08-01,214,51.173,-115.1331,Calgary Forest Area,Slopes,8,81.2,-5.493827218821,0.004095236281
