date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
16/5/17 0:00,16/5/17 17:02,16/5/17 23:02,16/5/17 16:02,51.3232,-121.4539,-36,1
16/5/17 0:00,16/5/17 17:04,16/5/17 23:04,16/5/17 16:04,53.0355,-116.0639,13,1
16/5/17 0:00,16/5/17 17:13,16/5/17 23:13,16/5/17 16:13,48.1736,-109.5074,20,1
16/5/17 0:00,16/5/17 17:29,16/5/17 23:29,16/5/17 16:29,47.5866,-114.9107,21,1
16/5/17 0:00,16/5/17 17:44,16/5/17 23:44,16/5/17 16:44,52.01,-110.8151,10,1
16/5/17 0:00,16/5/17 17:54,16/5/17 23:54,16/5/17 16:54,47.7704,-114.4503,34,1
16/5/17 0:00,16/5/17 18:22,17/5/17 0:22,16/5/17 17:22,51.8271,-122.5881,28,1
16/5/17 0:00,16/5/17 18:38,17/5/17 0:38,16/5/17 17:38,59.7874,-117.3114,-7,1
16/5/17 0:00,16/5/17 18:56,17/5/17 0:56,16/5/17 17:56,52.4312,-113.7976,-13,1
16/5/17 0:00,16/5/17 19:01,17/5/17 1:01,16/5/17 18:01,51.7677,-122.8512,-38,1
16/5/17 0:00,16/5/17 19:02,17/5/17 1:02,16/5/17 18:02,51.7768,-122.8653,-30,1
16/5/17 0:00,16/5/17 19:02,17/5/17 1:02,16/5/17 18:02,52.7572,-113.4018,-12,1
16/5/17 0:00,16/5/17 19:02,17/5/17 1:02,16/5/17 18:02,52.8976,-113.6982,-15,1
16/5/17 0:00,16/5/17 19:05,17/5/17 1:05,16/5/17 18:05,52.4574,-113.8112,-16,1
16/5/17 0:00,16/5/17 19:05,17/5/17 1:05,16/5/17 18:05,51.695,-122.9511,-42,1
16/5/17 0:00,16/5/17 19:08,17/5/17 1:08,16/5/17 18:08,51.7247,-122.8925,-29,1
16/5/17 0:00,16/5/17 19:13,17/5/17 1:13,16/5/17 18:13,52.0416,-113.2094,-8,1
16/5/17 0:00,16/5/17 19:35,17/5/17 1:35,16/5/17 18:35,51.7497,-123.0123,57,1
