FID,OBJECTID_1,TARGET_FID,OBJECTID,fishnet_AB,Sum_Outp_3,Roads_Su_2,Powerlin_2,Cutline__3,Highway__3,Shape_Leng,FIREC_NAME,FIREC_CODE,ZONE_CODE,ZONE_NAME,NSR,NSRNAME,NSRCODE,NRNAME,PRA_NAME,PRA_CODE,TYPE,Name,PLREC_NAME,PLREC_CODE,TYPE_1,PLRT_NAME,PLRT_CODE,TYPE_12,Shape_Le_1,Shape_Area,X,Y
0,1,1,2,3332.000000000000000,0.000000000000000,8414.421655860000100,0.000000000000000,161899.032356000010000,0.000000000000000,40000.000000000000000,46,00046,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,904201.699018000040000,100000000.000000000000000,-113.710750589000000,55.842262446800000
1,2,6,7,4112.000000000000000,0.000000000000000,80878.467837400007000,7389.627353949999800,208508.278888000000000,10466.016487100000000,40000.000000000000000,42,00042,9,Boreal Plains,2,Dry Mixedwood,DMW,Boreal, ,0, , , , , , , , ,740483.523214000040000,100000000.000000000000000,-112.185717250000000,54.827548341099998
2,3,9,10,3399.000000000000000,0.000000000000000,44583.674212799997000,6653.432023540000000,218617.599745000010000,8181.091397979999800,40000.000000000000000,46,00046,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,904201.699018000040000,100000000.000000000000000,-114.191819622000000,55.756470981299998
3,4,12,13,2213.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,144544.128957999990000,0.000000000000000,40000.000000000000000,46,00046,9,Boreal Plains,21,Upper Boreal Highlands,UB,Boreal, ,0, , , , , , , , ,904201.699018000040000,100000000.000000000000000,-113.495032394000010,57.278043093100003
4,5,13,14,3061.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,184352.404583000000000,0.000000000000000,40000.000000000000000,41,00041,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,580778.651011000040000,100000000.000000000000000,-112.248860269000010,56.177944598099998
5,6,14,15,1654.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5679.717275560000400,0.000000000000000,40000.000000000000000,40,00040,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,1105502.168690000000000,100000000.000000000000000,-113.295840619000000,57.994529617500000
6,7,16,17,1992.000000000000000,0.000000000000000,12490.886069900000000,0.000000000000000,193697.622987000010000,11779.556070700000000,40000.000000000000000,35,00035,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,778780.373273000000000,100000000.000000000000000,-115.322663890000000,57.556232043199998
7,8,18,19,1215.000000000000000,0.000000000000000,38226.233439600001000,0.000000000000000,118548.289353000000000,10011.879464100000000,40000.000000000000000,36,00036,9,Boreal Plains,2,Dry Mixedwood,DMW,Boreal, ,0, , , , , , , , ,764113.282970999950000,100000000.000000000000000,-116.534442672000000,58.535892489699997
8,9,19,20,474.000000000000000,0.000000000000000,13516.566313900001000,0.000000000000000,58598.747579800001000,0.000000000000000,40000.000000000000000,39,00039,5,Taiga Shield,3,Northern Mixedwood,NM,Boreal, ,0, , , , , , , , ,586310.653612999940000,100000000.000000000000000,-111.454170059000010,59.485231017799997
9,10,22,23,2562.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,177350.537795999990000,0.000000000000000,40000.000000000000000,46,00046,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,904201.699018000040000,100000000.000000000000000,-113.676980953000000,56.830690599400000
10,11,24,25,2492.000000000000000,0.000000000000000,5404.208431160000100,0.000000000000000,237698.996083000010000,0.000000000000000,40000.000000000000000,46,00046,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,904201.699018000040000,100000000.000000000000000,-113.673803334000000,56.920539185800003
11,12,25,26,3460.000000000000000,0.000000000000000,6414.458902549999900,0.000000000000000,458283.442695999980000,0.000000000000000,40000.000000000000000,22,00022,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,828554.206806999980000,100000000.000000000000000,-115.625036569000000,55.667647260199999
12,13,27,28,1036.000000000000000,0.000000000000000,58959.900112099996000,0.000000000000000,90373.336398100000000,0.000000000000000,40000.000000000000000,39,00039,6,Boreal Shield,5,Peace-Athabasca Delta,PAD,Boreal, ,0, , , , , , , , ,586310.653612999940000,100000000.000000000000000,-111.182441553999990,58.758086488799997
13,14,28,29,2252.000000000000000,0.000000000000000,10345.599520000000000,0.000000000000000,290454.967232000020000,0.000000000000000,40000.000000000000000,32,00032,9,Boreal Plains,21,Upper Boreal Highlands,UB,Boreal, ,0, , , , , , , , ,650004.040169000040000,100000000.000000000000000,-118.626534677000000,57.144760094500000
14,15,29,30,635.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,46998.413137700001000,0.000000000000000,22734.934101200000000,37,00037,4,Taiga Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,784464.434339000030000,13534537.423300000000000,-119.989230642000000,59.163873726699997
15,16,31,32,939.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,108898.529241000000000,0.000000000000000,40000.000000000000000,38,00038,4,Taiga Plains,4,Boreal Subarctic,BSR,Boreal, ,0, , , , , , , , ,653360.184336000010000,100000000.000000000000000,-115.856021127000010,58.901609144100000
16,17,32,33,5424.000000000000000,0.000000000000000,253308.378983000000000,23483.192241299999000,85231.840005799997000,12469.395291800000000,40000.000000000000000,12,00012,9,Boreal Plains,1,Central Mixedwood,CM,Boreal,Blue Rapids,1129,PRA,Blue Rapids, , , , , , ,240823.711103999990000,100000000.000000000000000,-114.989528482000000,53.151785810100002
17,18,33,34,1075.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,88648.079303699997000,0.000000000000000,40000.000000000000000,36,00036,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,764113.282970999950000,100000000.000000000000000,-116.542339619000000,58.715522932799999
18,19,35,36,1738.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15983.092096400000000,0.000000000000000,40000.000000000000000,40,00040,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,1105502.168690000000000,100000000.000000000000000,-110.941588687000010,57.851186380300000
19,20,37,38,3041.000000000000000,0.000000000000000,25874.424114099998000,12877.476284300001000,433764.065584999970000,0.000000000000000,40000.000000000000000,34,00034,9,Boreal Plains,1,Central Mixedwood,CM,Boreal, ,0, , , , , , , , ,899804.964766000050000,100000000.000000000000000,-115.472520647000000,56.207653689899999
