"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
6610,152,0,0,0,0,25798.105354,7,14,"Montane Cordillera",7,"Alpine",-115.56791803,51.6214391316,0.551558081,0,0.04351506594,0,0,0,"Calgary Forest Area",10,0.00891948025340536,0.215459417228356,0.156923888864309,0.0121266282612946,0,0,0.0470978026346141,0.0127276843135014,0,0,0,0,0.0035179102456953,0,0.000481250099999888,0,0,0,4e-04,0,0.00258222365212805,0,1e-04,0,0,0.293117221022552,0.168439305105033,0,0,4e-04,0.00564983765574289,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.4,33.4,5,0.2,77.7,8.3,197.6,2.6,14.9,4,"2016-05-31"
6680,152,0,0,0,0,0,6,14,"Montane Cordillera",8,"Subalpine",-115.566798088,51.5314914747,0.2505492583,0,0,0,0,0,"Calgary Forest Area",10,0.000136861991391042,0.105069461795457,0.18412568203355,0,0,0,0.0789072476399925,0.0145073581277309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393454311350203,0.0934863476270572,0,0,0,0.000464038099999976,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.5,32.4,5.1,0.2,76.6,8.6,211.1,2.6,15.6,4,"2016-05-31"
6681,152,0,15958.529284,0,0,49660.9617369,6,14,"Montane Cordillera",7,"Alpine",-115.422579597,51.5320995469,0.652399022,0.2243918845,0.04768034341,0,0,0,"Calgary Forest Area",10,0.0768471628887064,0.396939348105759,0.027465493128896,0.157929673231715,0.000682812400000112,0,0.00706028108419618,0,0,0,2e-04,0,0,0,0.000432493495695521,0,0,0,0,0,0,0,0,0,0,0.283412429986226,0.0482554253334428,0,0,0,0,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13,36.3,4.9,0.3,77.2,7.9,189.1,2.6,14.2,3.9,"2016-05-31"
6682,152,0,53492.8015722,0,0,165352.722814,6,14,"Montane Cordillera",10,"Upper Foothills",-115.278356784,51.5325303485,0.9741276122,0.04788647489,0,0,0,0,"Calgary Forest Area",10,0.0189021248716894,0.372780977066978,0.186731674671744,0.300107927448998,0,0,0.00448591805731344,0,0,0,0,0,0,0,4e-04,0.000268725600000063,0,0,0,0,0,0,0.000839067886376331,0,0,0.000400900108505239,0.114263412932122,0,0,0,0.00081927135627373,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.6,40.9,4.6,0.5,74.9,6.6,158.8,2.2,11.8,3.1,"2016-05-31"
6683,152,0,42010.1979366,0,0,177891.49922,6,9,"Boreal Plains",10,"Upper Foothills",-115.134131125,51.5327838695,0.9655838178,0.3041434428,0.01936214303,0.00467495252175408,0,0,"Calgary Forest Area",10,0.00623852741331099,0.184129755966665,0.383652866468617,0.261919704936015,0,0,0,0.000136862008505263,0,0,3e-04,0,0,0,4e-04,0.000365625,0,1e-04,0,1e-04,0.00143128650000016,0,0.000102599509531865,0,0,0.00706593557164967,0.15376030503001,0,0,6.40625e-05,0.000232469095695526,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.4,45.2,4.2,0.7,71.5,5.7,142.2,1.8,10.3,2.4,"2016-05-31"
6684,152,0,24099.6963419,0,0,196310.569883,6,9,"Boreal Plains",10,"Upper Foothills",-114.989904094,51.5328601036,0.9142428637,0.1081266225,0,0,0,0,"Calgary Forest Area",10,0.00395909751461348,0.0895489706845741,0.376835213694297,0.0961653001577066,0,0,0,0.00767188013724768,0,0,0.00405315221811615,0,0.00533830443290998,0,0.00712527889170918,0,0.00141180939983334,0,0.00156870123799691,0,0.0122026728245136,0.00928017287476229,0.0232063771874783,0,0,0.00241328860420061,0.358675431990041,0,0,0,0.000544348150000005,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.7,47.6,4.7,0.9,71.3,6.6,164.8,1.7,11.9,2.5,"2016-05-31"
6685,152,0,30270.7309959,0,0,206476.251394,6,9,"Boreal Plains",10,"Upper Foothills",-114.845677166,51.5327590491,0.9394975238,0.2010492715,0.247094779,0,0,0,"Calgary Forest Area",10,0.0133228764359152,0.11448830138615,0.200285731754981,0.0417020732965084,0,0,0,0.0238059158191912,0,0,0.0256458612982016,5e-04,0.0259224707704193,0.00324996681768613,0.0227590995626941,0.00364160605898924,0.0061792771811564,0,0.00760937053699459,0.00178801618092021,0.00672304263223358,0,0.0170061692912255,0,0,0.00698286881796629,0.470220290555121,0.000203076237996914,0.000896923762003086,0.00527825320923087,0.00178880839441506,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.1,49,5.9,1.2,72.8,8.2,202.2,1.8,14.9,3,"2016-05-31"
6686,152,13084.2996613,114263.889798,0,0,206671.89706,6,9,"Boreal Plains",11,"Lower Foothills",-114.701451817,51.5324807084,0.883273386,0.1315189914,0.7533679066,0,0,0,"Calgary Forest Area",10,0.00668618211606642,0.111551893004231,0.0601653879463155,0.0468682289088614,0,0,0,0.11963973246709,0,0,0.0599855292940762,0.0417161794938156,0.0289088072235187,0.035313947381007,0.037486981381487,0.0189712396251768,0.0156367124015172,0.00965306610995901,0.0642905998155874,0.0111715522375481,0.0488440833409698,0.000112350530352829,0.0278757217421756,0,0,0.00630995936280999,0.227705811934012,0.00344942091131788,0.00297860273799423,0.0129870127453142,0.00169099728880156,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.3,50.8,6.5,1.5,71,8.3,207.7,1.7,15.1,3,"2016-05-31"
6750,152,0,0,0,0,0,6,14,"Montane Cordillera",7,"Alpine",-115.565683943,51.4415424135,0.2266593307,0,0,0,0,0,"Calgary Forest Area",10,0.000121247458017563,0.0272283805134356,0.063204570162921,0,0,0,0.10012783159029,0.0332451416846029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476027217347793,0.186785264231991,0,0,0,0.000824059999999648,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.7,31.5,5.1,0.3,75.2,8.9,220.9,2.5,16.1,3.8,"2016-05-31"
6751,152,0,0,0,0,7288.79878736,6,14,"Montane Cordillera",7,"Alpine",-115.421748915,51.442148542,0.1886316269,0,0,0,0,0,"Calgary Forest Area",10,0.0325448886772155,0.305709339806284,0.02452998747079,0.0159143888883208,0,0,0.000436537335185353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594858308648774,0.0173462774671733,0,0,0,0.0001640625,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.1,35.6,4.7,0.4,74.9,7.9,194.9,2.4,14.3,3.5,"2016-05-31"
