"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
4562,152,0,61837.2116862,0,0,178308.913489,20,14,"Montane Cordillera",10,"Upper Foothills",-118.362342318,54.1838858505,0.9762884388,0,0.04153904694,0,0,0,"Edson Forest Area",8,0.0416363719148379,0.192436844154686,0.271050512032118,0.0615883641269879,0.00645272382931307,0,0,0.000134995111738894,0,0,0.00485890685056319,3e-04,0.000865625,0.00215529802170839,0.00521670541466871,4e-04,0.0018640625,4e-04,0.00180230554569514,0.00528561616263695,0.0183417983354786,0.00385241089999996,0.0859379385499946,0,0,0.00795073371520796,0.24296690607271,0.0288407248616574,0.00866097379999794,0.0010439574999999,0.00595622560000001,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.4,39.4,11.3,1.6,63.4,1.3,106.8,1.1,2.7,0.1,"2016-05-31"
4563,152,0,65968.2213919,0,0,215404.929118,20,9,"Boreal Plains",8,"Subalpine",-118.209292921,54.188064939,0.9708366166,0,0.01354070575,0,0,0,"Edson Forest Area",8,0.0582264358824287,0.345606826993894,0.103953894113633,0.079976847112973,0.00102145994999941,0,2e-04,0,0,0,0,0,5e-04,0,3e-04,0,0,0,0.000667150850000005,0.00294662040804609,0.00862801370401771,0.000631249899999937,0.0599355333390556,0,0,0.0108689625077076,0.290652597916136,0.0167750382381347,0.00523191982912067,0.0132134111548527,0.000664038100000005,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.7,40.5,10.6,1.7,64.5,1.4,97,0.9,2.7,0,"2016-05-31"
4630,152,0,53211.4133646,0,0,104216.070568,20,14,"Montane Cordillera",8,"Subalpine",-118.660390935,54.0852160717,0.4494590272,0,0,0,0,0,"Edson Forest Area",8,0.10115587830411,0.324380008362857,0.202721523918186,0.0237725424845884,0.0177718520287265,0,0.0017,0.0425401426911483,0,0,0.0103169786691436,0.00227157978210589,0.00635351705543451,0.00166601575000002,0.0112362651816306,0.00439082009999992,0.00686853265345129,0.00446568978041754,0.00660761527990421,0.0046084716999997,0.00592360235000003,0.0049492905956954,0.0283725042236436,0,0,0.00756531215968871,0.179253531729269,0,0,0,0.00110832519999985,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.7,38.4,10,1.7,64,2.5,121,1,5,0.2,"2016-05-31"
4631,152,0,56736.849063,0,0,179668.529532,20,14,"Montane Cordillera",10,"Upper Foothills",-118.507751916,54.0897684381,0.5444785309,0,0,0,0,0,"Edson Forest Area",8,0.0871119207632461,0.279027283527942,0.181712011179055,0.168618806116191,0.021541257493647,0,0.00225014052257168,0,0,0,8e-04,0.000339550800000317,0,1e-04,0.0009359375,1e-04,0,0,0.000863124349140473,0.000654865857109286,0.0007640625,0,0.00861392336900931,0,0,0.0175957879853909,0.218100197574207,0.00348816438410029,0.00161183531589971,0,0.00577113076249085,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.4,38.9,10.6,1.8,66.1,2,108.2,1.1,4,0.2,"2016-05-31"
4632,152,0,77741.3565647,0,0,211156.695222,20,9,"Boreal Plains",8,"Subalpine",-118.355071588,54.09412738,0.85638389,0,0,0,0,0,"Edson Forest Area",8,0.0498869523413299,0.411794164045016,0.155305092874335,0.150913497510017,0.00633607154999991,0,0.00236843101280972,1e-04,0,0,0,0,0,0.000468430995695486,0.00309789046733718,0,0.0001640625,0,0,0,0,2e-04,0.0185095700471071,0,0,0.0188507393739525,0.161115440298482,0.00363041999999934,0.00331950634999905,0.00849491120430368,0.00544481942961616,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.3,39.8,10.4,1.9,67.9,1.8,95.7,1.2,3.4,0.2,"2016-05-31"
4633,152,0,40438.3923424,0,0,204390.341095,20,14,"Montane Cordillera",10,"Upper Foothills",-118.202351731,54.0982927836,0.8381661321,0,0,0,0,0,"Edson Forest Area",8,0.120649056810192,0.269274606527924,0.2510913751118,0.077595564085723,3e-04,0,0.00148226823047942,0.00325657558797482,0,0,9e-04,8e-04,2e-04,4e-04,0,0,7e-04,0,0.000677526900000521,0,0.001,0,0.0018400495956953,0,0,0.00826078299654771,0.233159431602907,0.00261535650000023,0.001,0.0168200013507565,0.00797740469999932,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.5,41,9.4,2,69.4,1.9,85.6,1.1,3.3,0.2,"2016-05-31"
4697,152,14341.9545323,72517.7464325,25941.2707685,3965.92315384,115313.229228,25,14,"Montane Cordillera",8,"Subalpine",-119.109177002,53.9807167231,0.6591729288,0.1721126767,0.1171537597,0,0,0,"Edson Forest Area",8,0.0399397567414132,0.278911936013981,0.045458597466631,0.0102814148129169,0.00776563052300018,0,0.0103565602095043,0.191784296822871,0,0,0.0529534158361627,0.0201488404455707,0.0256757967621064,0.0116519287058843,0.0237018467447419,0.00961897426741518,0.0157732908409292,0.00483723658210404,0.0124816925209876,0.026044511264742,0.0117299635213724,0.0100896372512878,0.0206877536462687,0,0,0.111503757934117,0.0337518087494906,0.00521585745344592,0.00244820237634999,0,0.0171872925067056,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.3,35.1,7.3,1.6,70.2,5.5,181.1,0.9,10.4,0.2,"2016-05-31"
4698,152,0,41828.0239055,8255.55121056,0,113451.478261,20,14,"Montane Cordillera",8,"Subalpine",-118.956998738,53.9858318611,0.7619756728,0.002743681061,0.02298721386,0,0,0,"Edson Forest Area",8,0.0111206690739846,0.136425938424944,0.121366740966769,0.0645854285702343,0.00415744465000247,0,0.0107970460750739,0.155007634666262,0,0,0.0623466356202616,0.0106851280242568,0.0465502402583688,0.0339318339131772,0.0275931417533843,0.00679970741872828,0.0171468551805625,0.0181997686181536,0.0237806594115269,0.00825097223589092,0.0151546260999667,0.00166328124999983,0.0561219148188453,0,0,0.0159545842785504,0.146215791191058,0,0,0,0.0061439574999999,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.3,36,8.4,1.7,68.2,4.6,157,0.9,8.8,0.2,"2016-05-31"
4699,152,0,73053.5960552,0,0,167434.329613,20,14,"Montane Cordillera",8,"Subalpine",-118.804774186,53.9907545729,0.8169772377,0.08648281727,0,0,0,0,"Edson Forest Area",8,0.0812338720707253,0.213575712588834,0.110271960548076,0.0237219512209356,0.001,0,0.00165310060000001,0.0238695007449475,0,0,0.0383829311528048,0.00189731119139065,0.0168803128668941,0,0.00521769274644025,0.00540124620841833,0.000434863300000317,0.00418552184744584,0.00117116200000091,0.00292183982037067,0.0220513138787017,0.00193952629999997,0.0560185255432337,0,0,0.00999651732597375,0.354895143875207,0.0137044853445517,0.00664536438763753,0.0028301444374111,1e-04,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.1,37.2,9.4,1.8,67,3.6,134.1,1,7,0.2,"2016-05-31"
4700,152,0,62632.856824,0,0,160153.669488,20,9,"Boreal Plains",8,"Subalpine",-118.652505102,53.9954847305,0.7039247836,0,0.09318564432,0,0,0,"Edson Forest Area",8,0.0738197113688071,0.310726480504931,0.0593452868389807,0.0763968385813838,0,0,0.00358606786531543,0.0395769623779181,0,0,0.0084700435017634,0,0.00175208540921434,0.00186015062108427,0.00385195546265564,0,0.00258587771355681,0,0,2e-04,8.28816607337444e-07,0,0.00300384315198062,0,0,0.0185776477103796,0.355445112995477,0.0105928910059628,0.0209905687858725,0.00729483853810813,0.00192280875000049,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.8,38.1,10.1,2,67.7,2.9,116.5,1.1,5.6,0.2,"2016-05-31"
