"DAY_OF_YEAR","s(DAY_OF_YEAR)"
60,-1.80320848161064
61,-1.76271632477172
62,-1.72222325617343
63,-1.68172836405637
64,-1.64123073666118
65,-1.60072946222847
66,-1.56022362899887
67,-1.51971232521299
68,-1.47919463911145
69,-1.43866965893488
70,-1.39813647292389
71,-1.35759416931912
72,-1.31704183636117
73,-1.27647856229066
74,-1.23590343534823
75,-1.19531554377448
76,-1.15471397581005
77,-1.11409781969555
78,-1.07346616367159
79,-1.03281809597881
80,-0.992152704857826
81,-0.951469078549252
82,-0.910766305293712
83,-0.870043473331827
84,-0.829299670904218
85,-0.788533986251505
86,-0.747745507614308
87,-0.70693332323325
88,-0.666099301119456
89,-0.625267385362365
90,-0.584472047520477
91,-0.54374782398659
92,-0.503129251153501
93,-0.462650865414008
94,-0.422347203160909
95,-0.382252800787001
96,-0.342402194685082
97,-0.302829921247949
98,-0.263570516868401
99,-0.224658517939234
100,-0.186128460853247
101,-0.148014882003237
102,-0.110352317782002
103,-0.0731753045823387
104,-0.0365183787970456
105,-0.000416076818920547
106,0.0350970649592396
107,0.0699865101446366
108,0.104217722344473
109,0.137756165165951
110,0.170567302216274
111,0.202616597102642
112,0.233869513432261
113,0.264291514812329
114,0.293848064850052
115,0.322505453008954
116,0.350244794525269
117,0.377060028532218
118,0.402945517001457
119,0.42789562190464
120,0.451904705213426
121,0.474967128899468
122,0.497077254934425
123,0.518229445289951
124,0.538418061937703
125,0.557637466849338
126,0.575882021996511
127,0.593146089350877
128,0.609424030884095
129,0.624710208567819
130,0.638998984373705
131,0.65228472027341
132,0.66456177823859
133,0.675824520240901
134,0.686067308251999
135,0.69528450424354
136,0.703470470187181
137,0.710619568054577
138,0.716726159817384
139,0.72178460744726
140,0.725789272915858
141,0.728734518194837
142,0.730614963384501
143,0.731440716304122
144,0.731245890737367
145,0.7300666654971
146,0.727939219396182
147,0.724899731247479
148,0.720984379863853
149,0.716229344058166
150,0.710670802643283
151,0.704344934432066
152,0.697287918237378
153,0.689535932872083
154,0.681125157149044
155,0.672091769881124
156,0.662471949881186
157,0.652301875962093
158,0.641617726936708
159,0.630455681617895
160,0.618851918818517
161,0.606842617351436
162,0.594463956029516
163,0.581752113665621
164,0.568743269072612
165,0.555473601063355
166,0.541979288450711
167,0.528296510047543
168,0.514461444666715
169,0.50051026442634
170,0.486472473472909
171,0.472358395492381
172,0.458174926458396
173,0.443928962344593
174,0.42962739912461
175,0.415277132772088
176,0.400885059260666
177,0.386458074563984
178,0.37200307465568
179,0.357526955509394
180,0.343036613098766
181,0.328538943397435
182,0.31404084237904
183,0.299549206017221
184,0.285070930285618
185,0.270612911157869
186,0.256182044607613
187,0.241785226608492
188,0.227429353134143
189,0.213121320158206
190,0.198868023654321
191,0.184676359596127
192,0.170553223957263
193,0.156505512711369
194,0.142540121832085
195,0.128663947293049
196,0.114883885067901
197,0.101206795523943
198,0.0876393397859815
199,0.0741881097133706
200,0.0608596970959199
201,0.0476606937234389
202,0.0345976913857378
203,0.0216772818726261
204,0.00890605697391375
205,-0.0037093915205897
206,-0.0161624718210741
207,-0.0284465921377299
208,-0.0405551606807474
209,-0.0524815856603163
210,-0.0642192752866276
211,-0.0757616377698709
212,-0.0871020813202363
213,-0.0982340141479146
214,-0.109150844463096
215,-0.11984598047597
216,-0.130312830396727
217,-0.140544802435558
218,-0.150535304802652
219,-0.1602777457082
220,-0.169765533362392
221,-0.178992075975419
222,-0.18795078175747
223,-0.196635058918735
224,-0.205037792723042
225,-0.213145789182742
226,-0.220941932212461
227,-0.22840904035853
228,-0.235529932167277
229,-0.242287426185035
230,-0.248664340958133
231,-0.254643495032901
232,-0.260207706955671
233,-0.265339795272771
234,-0.270022578530534
235,-0.274238875275288
236,-0.277971504053365
237,-0.281203283411094
238,-0.283917031894806
239,-0.286095568050832
240,-0.287721710425502
241,-0.288778277565145
242,-0.289248088016093
243,-0.289113960324676
244,-0.288358713037224
245,-0.286965164700067
246,-0.284916133859536
247,-0.282194439061961
248,-0.278782898853673
249,-0.274664331781002
250,-0.269821556390277
251,-0.264237993344015
252,-0.257915324359618
253,-0.250876342853192
254,-0.24314501824901
255,-0.234745319971349
256,-0.225701217444484
257,-0.21603668009269
258,-0.205775677340242
259,-0.194942178611416
260,-0.183560153330486
261,-0.17165357092173
262,-0.15924640080942
263,-0.146362612417834
264,-0.133026175171246
265,-0.119261058493931
266,-0.105091231810165
267,-0.0905406645442234
268,-0.0756333261203809
269,-0.0603931859629132
270,-0.0448442134960955
271,-0.0290103781442033
272,-0.0129156493315116
273,0.00341600351770407
274,0.0199606109791688
275,0.0366942036286066
276,0.0535928120417425
277,0.0706324667943016
278,0.0877892356883095
279,0.105045231146494
280,0.122395241147236
281,0.13983564974659
282,0.157362841000612
283,0.174973198965357
284,0.192663107696881
285,0.21042895125124
286,0.228267113684488
287,0.246173979052681
288,0.264145931411876
289,0.282179354818127
290,0.300270633327489
291,0.31841615099602
292,0.336612291879773
293,0.354855440034804
294,0.373141979517169
295,0.391468294382924
296,0.409830768688124
297,0.428225786488824
298,0.44664973184108
299,0.465098988800947
300,0.483569941424482
301,0.502058973767739
302,0.520562469886773
303,0.539076813837642
304,0.557598389676399
305,0.576123581459101
