"FFMC","s(FFMC)"
0,-1.71261454146288
0.1,-1.71047417463424
0.2,-1.70833381566803
0.3,-1.7061934724267
0.4,-1.70405315277267
0.5,-1.70191286456838
0.6,-1.69977261567627
0.7,-1.69763241395876
0.8,-1.69549226727831
0.9,-1.69335218349733
1,-1.69121217047827
1.1,-1.68907223608356
1.2,-1.68693238817564
1.3,-1.68479263461694
1.4,-1.68265298326989
1.5,-1.68051344199694
1.6,-1.67837401866052
1.7,-1.67623472112305
1.8,-1.67409555724699
1.9,-1.67195653489475
2,-1.66981766192879
2.1,-1.66767894621152
2.2,-1.6655403956054
2.3,-1.66340201797284
2.4,-1.6612638211763
2.5,-1.6591258130782
2.6,-1.65698800154097
2.7,-1.65485039442706
2.8,-1.6527129995989
2.9,-1.65057582491892
3,-1.64843887824956
3.1,-1.64630216745325
3.2,-1.64416570039244
3.3,-1.64202948492954
3.4,-1.63989352892701
3.5,-1.63775784024727
3.6,-1.63562242675276
3.7,-1.63348729630592
3.8,-1.63135245676917
3.9,-1.62921791600496
4,-1.62708368187572
4.1,-1.62494976224388
4.2,-1.62281616497189
4.3,-1.62068289792217
4.4,-1.61854996895716
4.5,-1.61641738593929
4.6,-1.61428515673101
4.7,-1.61215328919474
4.8,-1.61002179119293
4.9,-1.607890670588
5,-1.60575993524239
5.1,-1.60362959301854
5.2,-1.60149965177888
5.3,-1.59937011938584
5.4,-1.59724100370187
5.5,-1.59511231258939
5.6,-1.59298405391085
5.7,-1.59085623552867
5.8,-1.5887288653053
5.9,-1.58660195110316
6,-1.5844755007847
6.1,-1.58234952221234
6.2,-1.58022402324853
6.3,-1.5780990117557
6.4,-1.57597449559627
6.5,-1.5738504826327
6.6,-1.57172698072741
6.7,-1.56960399774284
6.8,-1.56748154154142
6.9,-1.56535961998559
7,-1.56323824093778
7.1,-1.56111741226043
7.2,-1.55899714181598
7.3,-1.55687743746686
7.4,-1.5547583070755
7.5,-1.55263975850434
7.6,-1.55052179961581
7.7,-1.54840443827235
7.8,-1.5462876823364
7.9,-1.54417153967039
8,-1.54205601813676
8.1,-1.53994112559793
8.2,-1.53782686991635
8.3,-1.53571325895445
8.4,-1.53360030057467
8.5,-1.53148800263943
8.6,-1.52937637301119
8.7,-1.52726541955236
8.8,-1.52515515012539
8.9,-1.52304557259271
9,-1.52093669481676
9.1,-1.51882852465997
9.2,-1.51672106998477
9.3,-1.51461433865361
9.4,-1.51250833852891
9.5,-1.51040307747312
9.6,-1.50829856334866
9.7,-1.50619480401798
9.8,-1.5040918073435
9.9,-1.50198958118767
10,-1.49988813341291
10.1,-1.49778747188167
10.2,-1.49568760445637
10.3,-1.49358853899946
10.4,-1.49149028337337
10.5,-1.48939284544052
10.6,-1.48729623306337
10.7,-1.48520045410434
10.8,-1.48310551688222
10.9,-1.48101143790803
11,-1.47891824077894
11.1,-1.47682594932572
11.2,-1.47473458737915
11.3,-1.47264417877002
11.4,-1.47055474732912
11.5,-1.46846631688723
11.6,-1.46637891127515
11.7,-1.46429255432364
11.8,-1.46220726986351
11.9,-1.46012308172553
12,-1.45804001374049
12.1,-1.45595808973917
12.2,-1.45387733355237
12.3,-1.45179776901087
12.4,-1.44971941994544
12.5,-1.44764231018689
12.6,-1.44556646356599
12.7,-1.44349190391353
