"FISHNET_AB","X","Y","te(X,Y)"
49,-112.228302002,59.9987682156,-1.56112207500341
50,-112.099887165,59.9973584249,-1.27103504605162
51,-111.929668488,59.9953979703,-0.789501098685747
52,-111.753018918,59.9932964592,-0.291464142208331
53,-111.575224537,59.9910916281,0.0686340517308004
54,-111.396870799,59.9887441696,0.143557480013503
55,-111.218167496,59.9862739101,-0.212693419711154
56,-111.039391025,59.9837116213,-0.980024594551984
57,-110.860536877,59.9810138195,-1.88112743658983
58,-110.68164517,59.9781936292,-2.617593946756
59,-110.502750985,59.9752392488,-2.90736281532812
60,-110.323825962,59.9721368455,-2.71834748420838
61,-110.144908702,59.968909983,-2.22578717866181
62,-110.031623884,59.965686183,-1.83937470559514
118,-112.478772896,59.9563233776,-2.15384905782346
119,-112.299886255,59.9544807951,-1.98049134264715
120,-112.121408384,59.9510781675,-1.62610250798668
121,-111.942568797,59.9470521541,-1.10430597524166
122,-111.763781362,59.9427839986,-0.54627928551935
123,-111.585049099,59.9382738461,-0.102324162671523
124,-111.406375024,59.9335218497,0.074807721765944
125,-111.227762146,59.928528171,-0.168817748245035
126,-111.049213467,59.9232929792,-0.83916634588114
127,-110.870731982,59.917816452,-1.67617228052533
128,-110.692320681,59.9120987748,-2.39629775255276
129,-110.513982544,59.9061401413,-2.73051396274695
130,-110.335720544,59.8999407532,-2.62923576599946
131,-110.157537649,59.89350082,-2.25281415045971
132,-110.037504068,59.8874247812,-1.92792335728858
190,-112.129169007,59.8613614391,-2.22374899243877
191,-111.950809797,59.8573498559,-1.64369699215971
192,-111.772502278,59.8530969947,-0.978148505798595
193,-111.594249447,59.8486029994,-0.392126109946052
194,-111.41605429,59.8438680219,-0.0529827933191094
195,-111.237919791,59.8388922224,-0.12992934452405
196,-111.059848926,59.8336757687,-0.661142427233699
197,-110.881844665,59.8282188372,-1.40917312402674
198,-110.70390997,59.8225216117,-2.10604758338461
199,-110.526047796,59.8165842843,-2.49436663796178
200,-110.348261092,59.810407055,-2.50082786936796
201,-110.170552796,59.8039901318,-2.26115321994413
202,-110.044095514,59.7979659164,-2.02029450879897
261,-111.958999103,59.7676456417,-2.18024949826853
263,-111.603392118,59.7589300683,-0.691244949940376
264,-111.425672897,59.7542120187,-0.19465119115284
265,-111.248013801,59.7492540027,-0.107215423547051
266,-111.070417781,59.7440561871,-0.497828206849415
267,-110.89288778,59.7386187466,-1.15252731970052
268,-110.715426736,59.7329418636,-1.81880890393352
269,-110.538037578,59.7270257288,-2.25211822194472
270,-110.360723228,59.7208705403,-2.35950322085923
271,-110.183486602,59.7144765045,-2.2521992937189
272,-110.050657386,59.7084163755,-2.10498901807854
333,-111.61247762,59.6692550582,-0.995426280407112
334,-111.435231378,59.6645538462,-0.347795536315965
335,-111.258044734,59.6596135191,-0.100048165706871
336,-111.080920615,59.6544342423,-0.349905063117628
337,-110.903861938,59.6490161891,-0.907848436311481
338,-110.726871615,59.6433595405,-1.53685490313629
339,-110.54995255,59.6374644855,-2.00620752425821
340,-110.373107641,59.6313312209,-2.20751529208014
