"WUI","s(WUI)"
0,-0.0800423373969635
0.01,0.120279374435667
0.02,0.300042983009159
0.03,0.49522771628639
0.04,0.764841666023724
0.05,1.02015156127966
0.06,1.11321290724766
0.07,0.963836639150711
0.08,0.566757951087966
0.09,0.0979883746329134
0.1,-0.213776254343123
0.11,-0.311123515001474
0.12,-0.253575021407573
0.13,-0.102908206714423
0.14,0.079162016040724
0.15,0.247833569367671
0.16,0.398017121125827
0.17,0.530317287669453
0.18,0.645338685352808
0.19,0.743685930530151
0.2,0.825963639555742
0.21,0.892776428783841
0.22,0.944728914568708
0.23,0.982425713264603
0.24,1.00647144122579
0.25,1.01747071480651
0.26,1.01602815036105
0.27,1.00274836424365
0.28,0.978235972808582
0.29,0.943095592410098
0.3,0.897931839402459
0.31,0.843349330139926
0.32,0.779952680976759
0.33,0.708346508267216
0.34,0.629135428365559
0.35,0.542924057626046
0.36,0.450317012402939
0.37,0.351918909050495
0.38,0.248334363922975
0.39,0.14016799337464
0.4,0.0280244137597477
0.41,-0.0874917585674413
0.42,-0.205775907252666
0.43,-0.326223415941669
0.44,-0.448229668280189
0.45,-0.571190047913967
0.46,-0.694507507654084
