"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
49,152,0,0,0,0,3692.03599347,39,9,"Boreal Plains",3,"Northern Mixedwood",-112.228302002,59.9987682156,0.859294580497024,0,0,0,0,0,"Fort McMurray Forest Area",2,0.0754680365124517,0.709262513139784,0.00114822595693164,0,0,0,0,0.0477071144127919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142519899569709,0,0,0.0238940176335756,0,268008.925841,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.7,58,3.2,5.1,53.2,3.6,89.6,0,6.3,0,"2016-05-31"
50,152,0,3598.41747252,0,0,3535.90447309,39,9,"Boreal Plains",3,"Northern Mixedwood",-112.099887165,59.9973584249,0.95681715621549,0,0,0,0,0,"Fort McMurray Forest Area",2,0.0278775391463411,0.487014714559893,0.0064738444616569,0,0,0,0,0.276362414735626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48336716231325e-05,0.200214681431465,0,0,0.00197196378265288,0,3628215.06434,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.8,58.7,2.9,5.2,53.4,3.9,94.3,0,6.9,0,"2016-05-31"
51,152,0,18851.009111,0,8766.34319724,9370.53750601,39,9,"Boreal Plains",3,"Northern Mixedwood",-111.929668488,59.9953979703,0.760960996440275,0.343029367329662,0.455780706038389,0,0,0,"Fort McMurray Forest Area",2,0.0331732126732516,0.461463918886989,0.013769452793919,0,0,0,0,0.0413260995189278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660705256527642,0.367811820692581,0,0,0.0163467000731679,3.82861609228173e-05,8037755.6256,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.9,59.5,2.8,5.2,53.9,5,104.9,0,8.7,0,"2016-05-31"
52,152,0,4290.9656276,0,3485.6685436,6845.65219835,39,9,"Boreal Plains",3,"Northern Mixedwood",-111.753018918,59.9932964592,0.547826906486983,0,0.0488952976632587,0,0,0,"Fort McMurray Forest Area",2,0.0335960725652918,0.302286978546374,0.233933969970172,0,0,0,0,0.153576835750292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264828659178085,0.0281960516299319,0,0,0.00340778582502743,0.218519446918653,12821764.9623,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.1,60.1,3,5,55.1,6.9,122.3,0,11.9,0,"2016-05-31"
53,152,0,0,0,0,2091.45475708,39,9,"Boreal Plains",3,"Northern Mixedwood",-111.575224537,59.9910916281,0.0684225631189321,0,0,0,0,0,"Fort McMurray Forest Area",2,0.0745943433303997,0.436342399187877,0.144848900754312,0,0,0,0,0.162958999243067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760806332186175,0.0594047193620233,0,0,0.0155421468635336,0.0302278602102104,17951085.6801,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.3,60.6,3.5,4.9,56.6,9.2,143,0,15.8,0,"2016-05-31"
54,152,0,0,0,0,0,39,5,"Taiga Shield",3,"Northern Mixedwood",-111.396870799,59.9887441696,0,0,0,0,0,0,"Fort McMurray Forest Area",2,0.121070636524023,0.448853452601979,0.127600014645291,0,0,0,0,0.0380356082350713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138370239979506,0.106061225170385,0,0,0.00198992137011447,0.0180189113575709,23319418.8961,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.5,61,4.1,4.6,58.2,11.7,164.9,0,19.9,0,"2016-05-31"
55,152,0,0,0,0,0,39,5,"Taiga Shield",13,"Kazan Uplands",-111.218167496,59.9862739101,0,0,0,0,0,0,"Fort McMurray Forest Area",2,0.0542184497758574,0.0388277174770153,0.183667222614877,0,0,0,0,0.248067188246388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153049079201769,0.139193648117043,0,0,0.00621532317564469,0.176761373629996,28960683.1235,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.7,61.2,4.8,4.4,59.6,14.1,186.8,0.1,23.9,0,"2016-05-31"
56,152,0,0,0,0,1287.49928975,39,5,"Taiga Shield",13,"Kazan Uplands",-111.039391025,59.9837116213,0,0,0,0,0,0,"Fort McMurray Forest Area",2,0.0200928824779794,0.0535649123066025,0.268242227038226,0,0,0,0,0.10888866831287,0,0,0,0,0,0,0,0,0.000366524706750405,0,0,0,0,0,0,0,0,0.156280521384958,0.149810220655569,0,0,0.0135905934067186,0.229163453384007,34943401.5337,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.9,61.4,5.5,4.1,60.8,16.3,207.3,0.2,27.5,0.2,"2016-05-31"
57,152,0,0,0,0,1262.46367531,39,5,"Taiga Shield",13,"Kazan Uplands",-110.860536877,59.9810138195,0,0,0,0,0,0,"Fort McMurray Forest Area",2,0.042539909539649,0.031224264929187,0.285827663222464,0,0,0,0,0.00875999047056514,0,0,0,0,0,0,0,0,0.000242909915727136,0,0,0,0,0,0,0,0,0.0356536389863843,0.0354513696416729,0,0,0.438329066345535,0.121485367629578,41167524.8829,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.2,61.6,6.3,3.9,61.5,18.1,225.6,0.2,30.4,0.4,"2016-05-31"
58,152,0,0,0,0,206.285948813,39,5,"Taiga Shield",13,"Kazan Uplands",-110.68164517,59.9781936292,0,0,0,0,0,0,"Fort McMurray Forest Area",2,0.0621490811344452,0.039504557886548,0.504836953245054,0,0,0,0,0.0112324450002017,0,0,0,0,0,0,0,0,0.000143655573958142,0,0,0,0,0,0,0,0,0.0199743752575613,0.0341616806295494,0,0,0.100706262444848,0.226793869222194,47662038.4759,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.4,61.6,7,3.7,61.7,19.3,240.7,0.2,32.4,0.4,"2016-05-31"
