"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
2948,152,0,67022.8759477,0,1848.45061379,160901.054091,31,9,"Boreal Plains",2,"Dry Mixedwood",-119.185306359,56.2276278731,0.4040176982,0,0.002096854697,0,0,0,"Grande Prairie Forest Area",6,0.000993090699865495,0.0153895383040357,0.0105070598808306,0,0,0,0,0.479449123235135,0,1e-04,0.00795824940376472,0.000364038100000005,0.00555460553585201,0.0015,0.00466989983564842,0.00519536522214801,0.0367923135569543,0.0137424529858221,0.00781737482020175,0.000484686224932701,0.00659112282493269,0.000734966080478687,0.0057605641052768,1e-04,0,0.00781056713308238,0.307233618346053,0.00157290023890351,0.00524412863616338,0.0712987287212518,0.00313560610866724,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16,43.9,13.9,0,63.2,2.8,117,0.5,5.1,0,"2016-05-31"
3016,152,0,88919.0320867,0,0,270908.572285,31,9,"Boreal Plains",2,"Dry Mixedwood",-119.496531286,56.1266990505,0.1701224417,0,0.02455096991,0,0,0,"Grande Prairie Forest Area",6,0,0.0150092963869583,0,0,0,0,0,0.35048916726297,0,0,0,0,0,0,6.40380500000902e-05,0,0.00517610265131279,0,0,0,0,0,0,0,0,0,0.208743240722737,0,0,0.420518154926021,0,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.6,43.8,11.3,0,69.4,4.7,119.9,1.3,8.1,1,"2016-05-31"
3017,152,0,106271.331015,0,0,182306.64363,31,9,"Boreal Plains",2,"Dry Mixedwood",-119.336067176,56.1324458009,0.2976325312,0.0001137277124,0.05466038175,0,0,0,"Grande Prairie Forest Area",6,0,0.00519494969952307,0,0,0,0,0,0.386143619759068,0,0,0,0,0,0,0,0,0.00521601409453041,0,0,0,0,0,0,0,0,0,0.238203281054335,0,0,0.358362278328777,0.00687985706376708,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.1,42.5,12.6,0,64.9,2.9,100.3,0.8,5,0,"2016-05-31"
3018,152,0,79283.8584445,0,0,191371.43227,31,9,"Boreal Plains",2,"Dry Mixedwood",-119.175545454,56.1379844601,0.2234323069,0,0.03310187228,0,0,0,"Grande Prairie Forest Area",6,0,0.000134966080478687,0,0,0,0,0,0.340082100526303,0,0,0,0,0,0,0,0,0.000280764194170105,0,0,0,0,0,0,0,0,1e-04,0.45427316389152,0,0,0.205064967257528,6.40380500000902e-05,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.4,42.3,13.9,0,61.7,2.2,109.7,0.4,4,0,"2016-05-31"
3085,152,14150.7385199,103156.331814,0,0,105460.388779,28,9,"Boreal Plains",2,"Dry Mixedwood",-119.646120709,56.0311563413,0.1256904461,0.01310711885,0.008394526769,0,0,0,"Grande Prairie Forest Area",6,0,0.00449993475385889,0,0,0,0,0,0.257773213043091,0,0,0,0,0,0,0,0,0.00242902403763582,0,0,0,0,0,0,0,0,0.00141373569289045,0.280045518129317,0,0,0.453474536293207,0.00036403805000009,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.3,44.1,10,0,74.3,6.7,142.2,2,11.5,2.4,"2016-05-31"
3087,152,10021.1898572,91781.956985,0,0,194834.118971,28,9,"Boreal Plains",2,"Dry Mixedwood",-119.325991468,56.0428185432,0.2088964837,0.07501053428,0.06302647659,0,0,0,"Grande Prairie Forest Area",6,0,0.0118912842766258,0.000933765527823117,0,0,0,0,0.372335676752453,0,0,0,0,0,0,0,0,0.00373860137279022,2.77198260774237e-05,0,3e-04,0,0,0,0,0,0.00100797117493302,0.278152043941149,0,0,0.330843974728148,0.000768962399999611,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.4,41,12.5,0,63.8,2.5,98.7,0.7,4.3,0,"2016-05-31"
3088,152,7675.15704791,86716.304355,0,0,98033.376333,31,9,"Boreal Plains",2,"Dry Mixedwood",-119.165840063,56.0483386266,0.1369921375,0.004605972351,0.04716146072,0,0,0,"Grande Prairie Forest Area",6,0,0.0223812213757667,0,0,3e-04,0,0,0.242288896508156,0,1e-04,1e-04,0,2e-04,0,0,0,0.00580292253198434,1e-04,0,0,0,1e-04,0,0,0,0.00192332334072226,0.427239045283485,0,0,0.299364590959886,1e-04,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.7,40.9,13.9,0,60.3,1.8,112.3,0.3,3.5,0,"2016-05-31"
3155,152,4398.88329753,69045.6188003,0,0,251107.128552,28,9,"Boreal Plains",11,"Lower Foothills",-119.635367042,55.9415656316,0.1724822918,0.03899438938,0.06245783803,0,0,0,"Grande Prairie Forest Area",6,0.000641816355679865,0.0252088454010745,0.00259437828222042,0,0,0,0,0.350130323074065,0,0.00026403805000009,0.0112811122153108,0.000595705477420669,0.0100539880244531,0.000727573247145359,0.00220933122581676,0.000248088835987471,0.0111144367063755,0,0.00699004077765398,2e-04,2e-04,0,0.00635670783391443,0,0,0.000464611074902283,0.144730200194359,0,0,0.422450101742657,0.00353870148096373,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.4,43.2,9.8,0,74.2,6.6,142.5,2,11.4,2.5,"2016-05-31"
3156,152,0,48116.2475511,0,0,369930.268539,28,9,"Boreal Plains",11,"Lower Foothills",-119.475699374,55.9474804838,0.3412471089,0.05761730227,0.01962513836,0,0,0,"Grande Prairie Forest Area",6,0.026571105232452,0.133681982098338,0.0184329843800061,0,0.00508344864628161,0,0,0.312061399065585,0,0,0.0864196922191793,0.00601318968257894,0.00776452868214676,0.00553709874000042,0.0119488340679749,0.00763327799040253,0.00913756856508887,0.017812229529612,0.00951446926870819,0.0119211727328014,0.00402093675199569,0.00147969375000079,0.00522088957984234,0,0,0.000268469174932695,0.0688317281068325,0,0,0.245443886855446,0.00520141487979326,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.1,41.3,10.9,0,68.3,4.4,121.8,1.3,7.6,1.2,"2016-05-31"
3157,152,0,47525.6694434,0,0,326338.428222,28,9,"Boreal Plains",2,"Dry Mixedwood",-119.315972923,55.9531887866,0.3163549559,0.09343442369,0.06964400786,0,0,0,"Grande Prairie Forest Area",6,0.0114180059134507,0.0186103313877022,0.0340537082110472,0,0.0255943205905463,0,0,0.371240251332273,0,1e-04,0.115656220661376,0.015991273071381,0.044938113005406,0.00665885001640566,0.0148728114382035,0.0201525433471537,0.0220832999002159,0.00993001652380619,0.0114966203367359,0.0112183948819173,0.0347398272969875,0.0245904984936753,0.0671070278262836,0,0,0.0100729720988244,0.082967616843861,0,0,0.0409076539171204,0.00559964290562644,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.6,39.8,12.2,0,62.9,2.6,113.3,0.7,4.7,0,"2016-05-31"
