"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
6,152,0,0,0,0,73138.0952727,37,4,"Taiga Plains",3,"Northern Mixedwood",-119.959968867,59.9666773023,0.0650438236758297,0,0,0,0,0,"High Level Forest Area",1,0.675470711252695,0.124270730616521,0,0,0,0,0,0.0769655756286233,0,0,0,0,0.00473109653978953,0,0,0,0,0,0,0,0.00367322259306543,0,0,0,0,0,0.0849280418000393,0,0,0.00508487229792384,0.0248757556140315,34412237.9729,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.2,57.7,6,0.1,86.9,8.4,263.8,1.8,16,1.1,"2016-05-31"
7,152,0,0,0,0,130813.082884,37,4,"Taiga Plains",3,"Northern Mixedwood",-119.830101233,59.969749114,0.10542519811996,0.0153829530886053,0,0,0,0,"High Level Forest Area",1,0.552484357951148,0.0900744853470522,0,0,0,0,0,0.0150810821452398,0,0,0,0,0.000826211570832107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051718356393287,0,0,0.284474094636551,0.00534140881747803,68386176.1094,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.3,56.4,6.3,0.1,83.9,8,263.7,1.6,15.2,0.8,"2016-05-31"
8,152,0,0,0,0,134202.786264,37,4,"Taiga Plains",3,"Northern Mixedwood",-119.651172708,59.9729033523,0.104236356748786,0,0,0,0,0,"High Level Forest Area",1,0.407469517236289,0.032503954930149,0,0,0,0,0,0.00406422671951175,0,0,0,0,0.000163704962524511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251900326940929,0,0,0.519346401313989,0.0112621611383146,61085503.1258,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.5,54.3,6.4,0.1,79.8,7.4,266.4,1.3,14.3,0.4,"2016-05-31"
9,152,0,0,0,0,47113.7864912,37,4,"Taiga Plains",3,"Northern Mixedwood",-119.472241148,59.9759370695,0.0173828837844188,0,0,0,0,0,"High Level Forest Area",1,0.199205814048485,0.00227461508500772,0,0,0,0,0,0.0101590166038895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421045308128182,0,0,0.631186651669982,0.11506937450508,54057499.0349,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,12.8,51.8,6.2,0.1,76,7,272.5,1,13.5,0,"2016-05-31"
10,152,0,0,0,0,51095.673693,37,4,"Taiga Plains",3,"Northern Mixedwood",-119.293333045,59.9788394864,0.00959141166863476,0,0,0,0,0,"High Level Forest Area",1,0.395856766251635,0.0437331484596888,0,0,0,0,0,0.0186057127350926,0,0,0,0,0.00349801074806825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209377036417947,0,0,0.459268390156289,0.0581002679243405,47280762.0679,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.1,49,5.7,0.1,72.8,6.6,280.2,0.7,13,0,"2016-05-31"
11,152,0,0,0,0,46272.0438521,37,4,"Taiga Plains",3,"Northern Mixedwood",-119.114420551,59.9816273308,0.0331772034010578,0,0,0,0,0,"High Level Forest Area",1,0.42220406616297,0.030812435467564,0,0,0,0,0,0.0642029111885987,0,0,0,0,0.0020517287654758,0,0,0,0,0,0,0,0.000245146959181851,0,0,0,0,0,0.127187636715382,0,0,0.0606487691606584,0.292647304899937,40791858.2118,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.4,46.5,5,0.1,70.5,6.4,285.8,0.5,12.7,0,"2016-05-31"
12,152,0,0,0,0,27271.581959,37,4,"Taiga Plains",3,"Northern Mixedwood",-118.935593665,59.9842766934,0.0220241279378815,0,0,0,0,0,"High Level Forest Area",1,0.229407747852836,0.0155857093356989,0,0,0,0,0,0.0199675560445422,0,0,0,0,0.00200102369980611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192932582895577,0,0,0.67073661860163,0.0430080887294573,34532766.9066,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.6,45.1,4.5,0.1,69.1,6.2,282.5,0.3,12.3,0,"2016-05-31"
13,152,0,0,0,0,31731.315742,37,4,"Taiga Plains",3,"Northern Mixedwood",-118.756810404,59.9868060921,0.0502864253820421,0,0,0,0,0,"High Level Forest Area",1,0.155790791607835,0.0362423573145941,0,0,0,0,0,0.0286905341255963,0,0,0,0,0.00129048879024078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173613000995398,0,0,0.730729060420815,0.0298954662600852,28552683.1166,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.6,45.4,4.4,0.1,68.5,5.9,264.5,0.3,11.7,0,"2016-05-31"
14,152,0,0,0,0,33085.9055732,37,4,"Taiga Plains",3,"Northern Mixedwood",-118.578012385,59.9892760308,0.0384679256764646,0,0,0,0,0,"High Level Forest Area",1,0.651553339652213,0.107917175388004,0,0,0,0,0,0.0400808241453041,0,0,0,0,0.00387720348030277,0,0,0,0,0,0,0,0.000713635860149882,0,0,0,0,0,0.0409090193233029,0,0,0.0059338498118014,0.149014948566973,22986239.7842,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.5,46.7,4.6,0.1,68.5,5.6,238.8,0.2,10.9,0,"2016-05-31"
15,152,0,0,0,0,26458.1100413,37,4,"Taiga Plains",4,"Boreal Subarctic",-118.399621361,59.9916523254,0,0,0,0,0,0,"High Level Forest Area",1,0.528323914963748,0.305015971182708,0,0,0,0,0,0.0111772567618207,0,0,0,0,0.00344370214880652,0,0,0,0,0,0,0,0.0015117463083197,0,0,0,0,0,0.00469545656900607,0,0,0.000385548658632307,0.14544641070958,17758877.4952,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.2,48.6,5,0.1,69.1,5.2,210,0.2,10.1,0,"2016-05-31"
