"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
2999,152,8604.92818059,55136.1824157,0,10018.7106608,730642.237159,41,9,"Boreal Plains",1,"Central Mixedwood",-110.953107425,56.2322400611,0.5431493383,0.5517713205,0.04858305712,0.00583439491486715,0,0,"Lac La Biche Forest Area",5,0.0192364060303146,0.224773119864995,0.0181730078363401,0.00386053786634775,0.0055499509000018,0,0,0.356875359987136,0,0,0.0214201710357523,0.000469942704904921,0.0161692939502623,0.00302110577493163,0.0133512756824863,0,0.0502979282844964,0.0164276180940095,0.00244439508788345,4e-04,0.0103471040275387,0,0.0164235548042031,0,0,0.0329962911290298,0.163719757152256,0,0,0.00284975568276504,0.0211934241043457,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.7,64.6,9.3,3.5,49,2.9,188.2,0.1,5.8,0,"2016-05-31"
3000,152,2968.21165906,19344.6437783,11768.3504219,0,445942.248001,41,9,"Boreal Plains",1,"Central Mixedwood",-110.792165045,56.226862423,0.8240354639,0.240797107,0.02129551414,0,0,0,"Lac La Biche Forest Area",5,0.0441911270120799,0.296290820601396,0.0113930572424541,0.00194841893463696,3e-04,0,0,0.201932626379091,0,0,0.0169045733288607,0.00088281259999983,0.00513951082066714,0.00362174078602922,0.0142675741338666,0.0018080077999999,0.0457620611332413,0.0100463493966836,0.00627031881336963,6e-04,0.00726734491300916,0,0.0134998751421252,0,0,0.010397014308434,0.278663597718634,0,0,0.0130094579166313,0.0158037110187909,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.1,64.9,9.9,3.7,49.3,2.5,163.1,0.1,5,0,"2016-05-31"
3001,152,0,2608.06366355,0,0,209969.319329,41,9,"Boreal Plains",1,"Central Mixedwood",-110.631278911,56.221275862,0.3579508667,0.1078778432,0,0,0,0,"Lac La Biche Forest Area",5,0.0804662920703071,0.412538950350253,0.0477129860463424,0.00299639892493266,6.71154370927239e-05,0,0,0.10203735177107,0,0,0.016405089553419,0.00107598352153443,0.00690600922916386,0.001525,0.00821186859971965,0.000584295594968638,0.0724677533517413,0.0266643539488907,0.009695237108606,0.00232778324999992,0.00563430966431396,0.00136296389999986,0.0202383300590606,0,0,7e-04,0.145390905235089,0,0,0.0106162668836287,0.0243747554998669,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.5,65,10.5,3.7,50.4,2.5,143.5,0.2,4.8,0,"2016-05-31"
3002,152,0,6627.94547958,0,0,215406.192442,41,9,"Boreal Plains",1,"Central Mixedwood",-110.470451135,56.2154805369,0.4350084998,0.1780478417,0.02828976845,0,0,0,"Lac La Biche Forest Area",5,0.0610039365247533,0.342080594007583,0.0707950769848459,0.0105647501961795,0.000547253263970793,0,0,0.105536589849527,0,0,0.0103362979409587,0,0.0123526076457114,0.00350506598602903,0.00933092821874641,0.000532421900000016,0.0880532663294874,0.00783984021284187,0.00567051371048756,0.00238281240000017,0.00496768089449118,2e-04,0.0102188512229035,0,0,0.0318148494561138,0.15442519434474,0,0,0.0565871992174735,0.0112542696931566,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.9,64.9,11.2,3.7,51.9,2.8,129.1,0.2,5,0,"2016-05-31"
3003,152,0,0,0,0,81413.5197786,41,9,"Boreal Plains",1,"Central Mixedwood",-110.309683829,56.2094766125,0.06842143495,0,0,0,0,0,"Lac La Biche Forest Area",5,0.0566900557750028,0.273887778654763,0.0316921111608565,0.012074224989764,0.0001439696999999,0,0,0.150182417653094,0,0,0.0104940693224805,0.000464038100000005,0.00271555042252043,0.000256469750000106,0.00294831308642865,2e-04,0.0089441042262027,0.00253239744999964,0.00169967651083376,1e-04,0.00216154395280449,0,0.00752620193910111,0,0,0,0.188413706073674,0,0,0.126781221685065,0.120092149547409,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.2,64.9,12,3.6,53.6,3.1,118.8,0.3,5.3,0,"2016-05-31"
3004,152,0,0,0,0,49423.3610491,41,9,"Boreal Plains",1,"Central Mixedwood",-110.148979095,56.2032642593,0.01978151397,0,0,0,0,0,"Lac La Biche Forest Area",5,0.035778851365425,0.260669772447812,0.0237848923778311,0.00435212010098107,2e-04,0,0,0.181083637546584,0,0,0.00701517953807452,0.00063250727493271,0.00455712872794182,0.000403540100000333,0.00206485922629579,0,0.0596771460639841,0.00229999999999981,0.00370428290245407,0,0.00496853366117429,0.00126695557493229,0.0071569758355903,0,0,0,0.135047269476037,0,0,0.183166381246078,0.0821699665338723,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.4,64.9,12.9,3.6,55.3,3.5,111.5,0.4,5.8,0,"2016-05-31"
3005,152,0,0,0,0,5206.69839017,41,9,"Boreal Plains",1,"Central Mixedwood",-110.037309511,56.1974518239,0,0,0,0,0,0,"Lac La Biche Forest Area",5,0.0410454148505945,0.140890039896149,0.00673595510913576,0.000255563190648054,0,0,0,0.133756559545862,0,0,0.0159557501450747,0.00035651550665593,0.0061879236787734,0.000686763717449183,0.00632482832898451,0,0.0983869880394215,0.0112828277299195,0.00496196049522668,0,0.00215261769954033,0,0.00366715182860719,0,0,0,0.0999601361175571,0,0,0.313466098530141,0.11392690461878,39129265.7391,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.5,65,13.5,3.6,56.2,3.7,108.1,0.4,6,0,"2016-05-31"
3057,152,0,24982.8013387,0,0,174160.391938,46,9,"Boreal Plains",1,"Central Mixedwood",-112.892966293,56.1906049436,0.4782108145,0,0,0,0,0,"Lac La Biche Forest Area",5,0.108226779436805,0.50696150366984,0.002708898454811,0,5e-04,0,0,0.0484979021002143,0,0,0.00428980511331166,0,0.000823814632186557,0.000198454456822201,0.00523779055221105,3e-04,0.000677918034388312,0,0,0,0,0,0.0048650328056789,0,0,0,0.260571938977174,0,0,0.0554401617665561,7e-04,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.3,47.5,5.5,0.8,56.9,5,181.2,0.3,8.7,0,"2016-05-31"
3058,152,0,7605.91300518,0,0,127752.765073,46,9,"Boreal Plains",1,"Central Mixedwood",-112.731892163,56.1877542625,0.1219729715,0,0,0,0,0,"Lac La Biche Forest Area",5,0.119801571605159,0.593552954473722,0.00441567379999964,2e-04,0.00216841760308335,0,0,0.0443646880996641,0,0,0.00297548628956689,0,0.00312385141952475,0.00179381558411373,0.00155276473989845,0,0.00584668888121003,0,0.00212409927286627,0,0.00471983851308855,0,0.00678759596922617,0,0,0.00625551953012175,0.179617813007706,0,0,0.0198335962110498,0.000865625,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.4,47.3,5.8,0.9,56.6,5.7,232.6,0.3,10.3,0,"2016-05-31"
3059,152,0,0,0,0,79045.2317004,46,9,"Boreal Plains",1,"Central Mixedwood",-112.570848355,56.1846939187,0.2056907838,0,0.04753818377,0,0,0,"Lac La Biche Forest Area",5,0.134148983890385,0.348009120344584,0.033176064764927,6.84691749327047e-05,0.0141062592248573,0,0,0.105540334970382,0,0,0.0356646028504017,0.00345403903788648,0.0212467156588963,0.00387684636212524,0.0196205952025228,0.000679443399999989,0.0278473448471123,0.0137593153887962,0.0110556308533244,0.00543896494999994,0.00865694471094145,0.00337421880000003,0.0283102065720082,0,0,0.0142698646885394,0.109185400252251,0,0,0.00972970752818185,0.0487809265269449,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.6,47,6.2,1.1,57.2,6.4,282,0.4,11.8,0,"2016-05-31"
