FISHNET_AB,DAY_OF_YEAR,DIST_HIGHWAY,DIST_ROAD,DIST_RAIL,DIST_POWERLINE,DIST_CUTLINE,FIRE_CONTROL_ZONE,ECOZONE,ZONE_NAME,NATURE_REGION,NSRNAME,X,Y,INF,WII,WUI,PROV_REC_AREA,PUBLIC_REC_AREA,PUBLIC_TRAIL_AREA,FOREST_NAME,FOREST_ID,C.1,C.2,C.3,C.4,C.5,C.6,C.7,D.1.D.2,M.1.M.2.10,M.1.M.2.15,M.1.M.2.20,M.1.M.2.25,M.1.M.2.30,M.1.M.2.35,M.1.M.2.40,M.1.M.2.45,M.1.M.2.50,M.1.M.2.55,M.1.M.2.60,M.1.M.2.65,M.1.M.2.70,M.1.M.2.75,M.1.M.2.80,M.1.M.2.85,M.1.M.2.90,NON.FUEL,O.1a,S.1,S.2,VEG.NON.FUEL,WATER,SHAPE_AREA,DATE.x,YEAR,MONTH,DAY,OTH,LTG,RES,FOR,RAI,REC,INC,UND,PRE,MIS,RST,GAS,POW,AGR,UNI,year,mon,day,TEMP,RH,WS,PREC,FFMC,DMC,DC,ISI,BUI,FWI,DATE.y
2999,152,8604.928181,55136.18242,0,10018.71066,730642.2372,41,9,Boreal Plains,1,Central Mixedwood,-110.9531074,56.23224006,0.543149338,0.551771321,0.048583057,0.005834395,0,0,Lac La Biche Forest Area,5,0.019236406,0.22477312,0.018173008,0.003860538,0.005549951,0,0,0.35687536,0,0,0.021420171,0.000469943,0.016169294,0.003021106,0.013351276,0,0.050297928,0.016427618,0.002444395,4.00E-04,0.010347104,0,0.016423555,0,0,0.032996291,0.163719757,0,0,0.002849756,0.021193424,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.7,64.6,9.3,3.5,49,2.9,188.2,0.1,5.8,0,2016-05-31
3000,152,2968.211659,19344.64378,11768.35042,0,445942.248,41,9,Boreal Plains,1,Central Mixedwood,-110.792165,56.22686242,0.824035464,0.240797107,0.021295514,0,0,0,Lac La Biche Forest Area,5,0.044191127,0.296290821,0.011393057,0.001948419,3.00E-04,0,0,0.201932626,0,0,0.016904573,0.000882813,0.005139511,0.003621741,0.014267574,0.001808008,0.045762061,0.010046349,0.006270319,6.00E-04,0.007267345,0,0.013499875,0,0,0.010397014,0.278663598,0,0,0.013009458,0.015803711,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.1,64.9,9.9,3.7,49.3,2.5,163.1,0.1,5,0,2016-05-31
3001,152,0,2608.063664,0,0,209969.3193,41,9,Boreal Plains,1,Central Mixedwood,-110.6312789,56.22127586,0.357950867,0.107877843,0,0,0,0,Lac La Biche Forest Area,5,0.080466292,0.41253895,0.047712986,0.002996399,6.71E-05,0,0,0.102037352,0,0,0.01640509,0.001075984,0.006906009,0.001525,0.008211869,0.000584296,0.072467753,0.026664354,0.009695237,0.002327783,0.00563431,0.001362964,0.02023833,0,0,7.00E-04,0.145390905,0,0,0.010616267,0.024374755,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.5,65,10.5,3.7,50.4,2.5,143.5,0.2,4.8,0,2016-05-31
3002,152,0,6627.94548,0,0,215406.1924,41,9,Boreal Plains,1,Central Mixedwood,-110.4704511,56.21548054,0.4350085,0.178047842,0.028289768,0,0,0,Lac La Biche Forest Area,5,0.061003937,0.342080594,0.070795077,0.01056475,0.000547253,0,0,0.10553659,0,0,0.010336298,0,0.012352608,0.003505066,0.009330928,0.000532422,0.088053266,0.00783984,0.005670514,0.002382812,0.004967681,2.00E-04,0.010218851,0,0,0.031814849,0.154425194,0,0,0.056587199,0.01125427,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.9,64.9,11.2,3.7,51.9,2.8,129.1,0.2,5,0,2016-05-31
3003,152,0,0,0,0,81413.51978,41,9,Boreal Plains,1,Central Mixedwood,-110.3096838,56.20947661,0.068421435,0,0,0,0,0,Lac La Biche Forest Area,5,0.056690056,0.273887779,0.031692111,0.012074225,0.00014397,0,0,0.150182418,0,0,0.010494069,0.000464038,0.00271555,0.00025647,0.002948313,2.00E-04,0.008944104,0.002532397,0.001699677,1.00E-04,0.002161544,0,0.007526202,0,0,0,0.188413706,0,0,0.126781222,0.12009215,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.2,64.9,12,3.6,53.6,3.1,118.8,0.3,5.3,0,2016-05-31
3004,152,0,0,0,0,49423.36105,41,9,Boreal Plains,1,Central Mixedwood,-110.1489791,56.20326426,0.019781514,0,0,0,0,0,Lac La Biche Forest Area,5,0.035778851,0.260669772,0.023784892,0.00435212,2.00E-04,0,0,0.181083638,0,0,0.00701518,0.000632507,0.004557129,0.00040354,0.002064859,0,0.059677146,0.0023,0.003704283,0,0.004968534,0.001266956,0.007156976,0,0,0,0.135047269,0,0,0.183166381,0.082169967,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.4,64.9,12.9,3.6,55.3,3.5,111.5,0.4,5.8,0,2016-05-31
3005,152,0,0,0,0,5206.69839,41,9,Boreal Plains,1,Central Mixedwood,-110.0373095,56.19745182,0,0,0,0,0,0,Lac La Biche Forest Area,5,0.041045415,0.14089004,0.006735955,0.000255563,0,0,0,0.13375656,0,0,0.01595575,0.000356516,0.006187924,0.000686764,0.006324828,0,0.098386988,0.011282828,0.00496196,0,0.002152618,0,0.003667152,0,0,0,0.099960136,0,0,0.313466099,0.113926905,39129265.74,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.5,65,13.5,3.6,56.2,3.7,108.1,0.4,6,0,2016-05-31
3057,152,0,24982.80134,0,0,174160.3919,46,9,Boreal Plains,1,Central Mixedwood,-112.8929663,56.19060494,0.478210815,0,0,0,0,0,Lac La Biche Forest Area,5,0.108226779,0.506961504,0.002708898,0,5.00E-04,0,0,0.048497902,0,0,0.004289805,0,0.000823815,0.000198454,0.005237791,3.00E-04,0.000677918,0,0,0,0,0,0.004865033,0,0,0,0.260571939,0,0,0.055440162,7.00E-04,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.3,47.5,5.5,0.8,56.9,5,181.2,0.3,8.7,0,2016-05-31
3058,152,0,7605.913005,0,0,127752.7651,46,9,Boreal Plains,1,Central Mixedwood,-112.7318922,56.18775426,0.121972972,0,0,0,0,0,Lac La Biche Forest Area,5,0.119801572,0.593552954,0.004415674,2.00E-04,0.002168418,0,0,0.044364688,0,0,0.002975486,0,0.003123851,0.001793816,0.001552765,0,0.005846689,0,0.002124099,0,0.004719839,0,0.006787596,0,0,0.00625552,0.179617813,0,0,0.019833596,0.000865625,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.4,47.3,5.8,0.9,56.6,5.7,232.6,0.3,10.3,0,2016-05-31
3059,152,0,0,0,0,79045.2317,46,9,Boreal Plains,1,Central Mixedwood,-112.5708484,56.18469392,0.205690784,0,0.047538184,0,0,0,Lac La Biche Forest Area,5,0.134148984,0.34800912,0.033176065,6.85E-05,0.014106259,0,0,0.105540335,0,0,0.035664603,0.003454039,0.021246716,0.003876846,0.019620595,0.000679443,0.027847345,0.013759315,0.011055631,0.005438965,0.008656945,0.003374219,0.028310207,0,0,0.014269865,0.1091854,0,0,0.009729708,0.048780927,1.00E+08,2016-05-31,2016,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.6,47,6.2,1.1,57.2,6.4,282,0.4,11.8,0,2016-05-31
