"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
1544,152,0,0,0,0,41397.0642811,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.991975076,57.992598701,0,0,0,0,0,0,"Peace River Forest Area",3,0.142426345438462,0.578440810922944,0,0.0215800426014663,0,0,0,0.0393620629687462,0,0,0,0,0,0,0,0,0.0218925474025464,0,0,0,0,0,0,0,0,0.16103137390853,0.035266827285192,0,0,0,0,10576457.0086,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16,53.8,2.3,0,77.7,7.4,217,1.5,13.8,1.9,"2016-05-31"
1545,152,0,0,0,0,309659.172397,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.899111493,58.001456688,0.05510818462,0.00829501502,0,0,0,0,"Peace River Forest Area",3,0.076905346721727,0.65840863670883,0,0.034639678025534,0,0,0,0.0333488729298795,0,0,0,0,0,0,0,0,0.0130213008249086,0,0,0,0,0,0,0,0,0.0147341103868813,0.0669321566830965,0,0,0.0992967922606102,0.00271310545853329,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.9,53.5,3.1,0,73.2,6.1,197.1,1.2,11.6,1.3,"2016-05-31"
1546,152,0,10045.2659098,0,0,293427.243536,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.730440924,58.0078530868,0.03893752552,0.005409174319,0,0,0,0,"Peace River Forest Area",3,0.0136542961248603,0.0696238245728713,0,0.0468335598937916,0,0,0,0.0411813818976986,0,0,0,0,0,0,0,0,0.0101716333506255,0,0,0,0,0,0,0,0,0,0.274319553801953,0,0,0.533702936170164,0.0105128141880362,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.7,52.7,4.7,0,64.6,3.8,159.7,0.6,7.5,0.2,"2016-05-31"
1547,152,0,0,0,6667.59931065,192476.810844,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.561699659,58.0140262773,0.09295818889,0,0,0,0,0,"Peace River Forest Area",3,0.00375424830516681,0.00705190232972776,0,0.130536714186716,0,0,0,0.387881970687825,0,0,0,0,0,0,0,0,0.0599631171741923,0,0,0,0,0,0,0,0,0,0.407592789204415,0,0,0,0.00321925811195668,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.4,51.8,6.6,0,56,1.7,125.2,0.1,3.8,0,"2016-05-31"
1548,152,0,0,0,0,296297.250634,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.392890171,58.0199760694,0.3244722713,0.03382688645,0,0,0,0,"Peace River Forest Area",3,0.0604433160844596,0.0935995660892426,0.00351338959616716,0.056352529817574,0.00400733620000011,0,0,0.157480989631757,0,0,0,0,0,0.00039969092975759,0.00228157970000029,0.000689606650000438,0.0490364656977756,0,0.00183389285000032,0.00464211682134507,0,2e-04,0.00114357294999956,0,0,0,0.56427594698192,0,0,0,1e-04,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.3,51.3,8,0,49,0.6,101.7,0,1.1,0,"2016-05-31"
1549,152,0,0,0,0,232172.643466,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.224014939,58.0257022799,0.002146610571,0.02323599323,0,0,0,0,"Peace River Forest Area",3,0.416465524617275,0.391535681761856,0.0440467518015857,0.00811015344493052,1e-04,0,0,0.0179348619926817,0,0,0.00122849081444027,0,0,0.000579443299999461,0.0073104241285313,0.00829859524183697,0.0366748992935521,0.00795508413912333,0.011428231150406,0.00584089720478685,0.00123706664999953,0,0.0137989626869656,0,0,0,0.0235599977470966,0,0,0,0.003894934024933,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.2,51.5,8.7,0,44.4,0.6,91.5,0,0.8,0,"2016-05-31"
1614,152,0,0,0,0,51926.3137014,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.985928091,57.9050024127,0.253453557036835,0.0335018013269589,0,0,0,0,"Peace River Forest Area",3,0.04300061134836,0.378570729007244,0,0,0,0,0,0.021926937836173,0,0,0,0,0,0,0,0,0.0124915440715935,0,0,0,0,0,0,0,0,0.269808478790572,0.103911188392935,0,0,0.168625045700898,0.00166546458677156,18012991.8332,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16,51.9,2.9,0,77.8,8,228.2,1.6,14.9,2.2,"2016-05-31"
1615,152,0,0,0,9039.49210502,278826.808035,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.886889661,57.9119272371,0.1569442431,0.01396007669,0,0,0,0,"Peace River Forest Area",3,0.0693170313378382,0.429786417345094,0,0.013398588279687,0,0,0,0.129815824340372,0,0,0,0,0,0,0,0,0.0248000566213326,0,0,0,0,0,0,0,0,0.179808841142378,0.0352452336612412,0,0,0.114672295667946,0.00315571160411134,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.9,51.5,3.7,0,72.9,6.6,206.4,1.3,12.5,1.6,"2016-05-31"
1616,152,0,16499.5588853,0,11467.109945,405521.487225,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.71863599,57.9183015665,0.0969884147,0.02295167395,0,0,0,0,"Peace River Forest Area",3,0.0918033164546757,0.0569504679370563,0.000682918502717608,0.0968576457132426,0,0,0,0.213409890006016,0,0,0,0,0,0,0,0,0.107295483553992,0,0,0,0,0,0,0,0,0,0.393256193239787,0,0,0.03850176545753,0.00124231913498194,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.6,50.6,5.6,0,63.8,4.2,166,0.7,8.3,0.5,"2016-05-31"
1617,152,0,0,0,3813.97509612,321210.896086,33,9,"Boreal Plains",6,"Lower Boreal Highlands",-119.550312205,57.9244534504,0.1048924907,0.04561192064,0,0,0,0,"Peace River Forest Area",3,0.163605825173096,0.244329487126481,0.000226110899999971,0.25416010329303,0,0,0,0.13923860742247,0,0,0,0,0,0,0,0,0.0891541961618378,0,0,0,0,0,0,0,0,0,0.107262907502717,0,0,0,0.00202276242036842,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.3,49.8,7.6,0,54.8,1.9,127.2,0.1,4.2,0,"2016-05-31"
