"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
5424,152,12469.3952918,253308.378983,0,23483.1922413,85231.8400058,12,9,"Boreal Plains",1,"Central Mixedwood",-114.989528482,53.1517858101,0.43648696,0.4471560411,0.1671228733,0.149884506440825,0,0,"Rocky Mountain House Forest Area",9,0.00957475951980815,0.0407173040792591,0.00150777227746646,0,0,0,0,0.189161084533059,0,0,0.0626483396513891,0.0400223696871915,0.0304835928795678,0.00316733756215191,0.0255811475492521,0.0137629872266514,0.0115933217678407,0.0144188355738658,0.011137930259414,0.0100553752479985,0.0481207086686636,0.00370976543359315,0.0270025172578473,0,0,0.0290649043109845,0.330690662221849,0,0,0.0719929518406627,0.0255863324514847,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.5,46.4,8.2,0.1,66.2,2.1,142.7,0.5,4.5,0,"2016-05-31"
5487,152,0,117837.292423,0,15472.8654007,448057.404064,15,9,"Boreal Plains",10,"Upper Foothills",-116.034428013,53.0573610855,0.9828491062,0.7948927376,0.09666855551,0,0,0,"Rocky Mountain House Forest Area",9,0.0244714504466383,0.265684170653003,0.220528490304907,0.0345509205783997,0,0,0,0.0447203014004321,0,0,0.0322206871391685,0.0004640625,0.00979969671678075,0.00752050668052496,0.0160878348100894,0.00219311550000048,0.00252341310000001,0.00419570198671566,0.011036815857133,0.00834359984661321,0.0135341622637038,0.00797914240344477,0.0660978974317079,0,0,0.00983596230339348,0.172076741637532,0.00565310445000013,0.000868430995695521,0.0372344680036395,0.00237932299047695,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.9,44.6,5.3,0.1,83.2,11.7,157.9,4.3,19.4,7.6,"2016-05-31"
5488,152,0,94601.6314687,0,10043.1551091,462867.133137,15,9,"Boreal Plains",11,"Lower Foothills",-115.885181016,53.0585650716,0.9802973406,0.7819277784,0.1493244863,0,0,0,"Rocky Mountain House Forest Area",9,0.0196801410129538,0.230010889572669,0.240778514305421,0.0278148135452071,0.000292163099999976,0,0,0.030744753991438,0,0,0.0224396376736245,0.00373403886105625,0.0102315154541117,0.0156196614146222,0.0158726406575442,0.00207890630000026,0.0126887308834758,0.00150213304999989,0.0192946030550529,0.00801264774481493,0.0233479675500975,0.0032040569460571,0.0610113604418241,0,0,0.0172317210193693,0.184883042478742,0.00146961506280981,0.0020921875,0.0415793227695488,0.00438493560956028,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.2,44.8,5.3,0,83.7,12.3,170.2,4.4,20.4,8,"2016-05-31"
5489,152,0,75809.3285984,0,0,422229.304652,15,9,"Boreal Plains",11,"Lower Foothills",-115.735924168,53.0595818631,0.9671546819,0.616802248,0,0,0,0,"Rocky Mountain House Forest Area",9,0.018401162614142,0.321643543923644,0.185316808559514,0.00792434967572963,0,0,0,0.0421873203259877,0,0,0.0158460376633959,0.001,0.00876293390048524,0.00256420468489429,0.0114945446910138,0.0174367423297908,0.0125327258462159,0.00640519126717264,0.00970306868494474,0.00194860848163507,0.0138784062091258,0.00249991464999973,0.0383578630042147,0,0,0.00853677464384301,0.0908099072190507,0,0,0.167265089113769,0.0154848025114299,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.1,46,5.9,0,80.9,9.7,150,3.5,16.2,5.8,"2016-05-31"
5492,152,10323.9639276,208423.345811,0,11314.8093089,121672.303613,12,9,"Boreal Plains",11,"Lower Foothills",-115.28811113,53.0615088384,0.9705096494,0.9071917455,0.3010017147,0,0.00121563331339745,0,"Rocky Mountain House Forest Area",9,0.0134446680900821,0.0842806338344366,0.0182446422555944,1e-04,2e-04,0,0,0.457486883146882,0,0,0.0564734369507042,0.0190250169588034,0.0244023523262077,0.0199288479382465,0.0283078653561518,0.0178476520343215,0.023875558883325,0.0116406171755827,0.00877245909569697,0.0113275894104298,0.010959204654436,0.00723661848313588,0.0337239104737031,0,0,0.0344279750609697,0.0856669865807113,0,0.0017472289000006,0.017941380252798,0.0129384721377808,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.1,49.8,7.9,0,68.7,2.1,96.6,0.8,4.1,0,"2016-05-31"
5493,152,0,216461.240912,0,0,70201.0078763,12,9,"Boreal Plains",1,"Central Mixedwood",-115.138831488,53.061776643,0.9577010658,0.9589662866,0.3298885536,0.026437916686759,0,0,"Rocky Mountain House Forest Area",9,0.024050594989996,0.107642902247831,0.0157188028305982,0.0005640625,0.00128281259999989,0,0,0.282607433642116,0,0,0.0548365432099292,0.0358626087356532,0.0147453526913048,0.0207314167497304,0.0228532255818636,0.0358321558931162,0.0334004445214817,0.0356486727743057,0.0304553745896361,0.014219097509824,0.0161255520161711,0.0110864082972818,0.0442979544031174,0,0,0.0257882512515449,0.101373231509848,0,0.000663671800000011,0.0463460989661491,0.0238673306885024,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.2,48.6,7.9,0,65.9,1.6,107.4,0.6,3.5,0,"2016-05-31"
5494,152,0,239100.728651,0,0,78907.571181,12,9,"Boreal Plains",1,"Central Mixedwood",-114.989550301,53.0618571723,0.6331932545,0.6150323605,0.2196437525,0.137192682366468,0,0,"Rocky Mountain House Forest Area",9,0.00457704755379061,0.0900328637304078,0,0,2e-04,0,0,0.374652858818039,0,3e-04,0.00967982486950777,0.0131051301559197,0.00602873360133606,0.00513295684455343,0.00683511969999949,0.0132289849578284,0.0520735205903103,0.00821017028719102,0.00866359282701702,0.00312677004999996,0.00736196081849365,0.00513405601280972,0.0126764513783589,0,0,0.0170395036378386,0.0820987316027587,0,0,0.259069827706582,0.0207718948572577,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.5,47,7.9,0.2,63.8,1.8,125.7,0.4,3.9,0,"2016-05-31"
5557,152,0,65643.8406934,0,0,518870.099388,15,9,"Boreal Plains",11,"Lower Foothills",-116.032280025,52.9674456489,0.8894715464,0.2500303756,0,0.00201141790508908,0,0,"Rocky Mountain House Forest Area",9,0.0274475549183338,0.266118128471359,0.137649401487758,0.00817590260788666,0.000462915049999952,0,0,0.0100015965715597,0,0,0.0070198801621155,3e-04,0.0145546722406316,0.00186293944999896,0.00541376287994733,0.000848134003036378,0.00731069006051022,0.00486346434999874,0.0143347353515776,0.00389043443367124,0.0123722469913838,0.00268419001463399,0.0377077616861191,0,0,0.0143556245651862,0.383455628590747,0,0,0.0381569624614023,0.00101337365214292,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.5,44.6,6,0.1,81.8,11.6,156.2,4.4,19.1,7.9,"2016-05-31"
5558,152,0,91218.0807721,0,13763.94033,328649.457978,15,9,"Boreal Plains",11,"Lower Foothills",-115.883342832,52.968645734,0.9777597911,0.6989420882,0.341211569,0,0,0,"Rocky Mountain House Forest Area",9,0.0166802680714489,0.309401086657004,0.21886618089643,0.0261796433632367,0.001765625,0,0,0.0320732537692202,0,0,0.0148665619387349,0.00618265843002654,0.00252810060000001,0.00475705019733071,0.00924080825000047,0.00549074805906481,0.00807127890836452,0.00498501391050354,0.00909791385481642,0.00875259374950726,0.0103349013462049,0.00639235133791285,0.0378402509434592,0,0,0.0175038855384568,0.176155386304516,0.00655246133834448,0.0014,0.057935663093323,0.00694631444209381,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15,44.9,5.9,0,82.8,12.8,172.7,4.7,21.2,8.8,"2016-05-31"
5559,152,0,62370.2756219,0,0,269429.657863,15,9,"Boreal Plains",11,"Lower Foothills",-115.734395859,52.9696592309,0.8715452157,0.6405358,0,0,0,0,"Rocky Mountain House Forest Area",9,0.0196691092839766,0.367255609538682,0.118353392209347,0.0450317235978659,0,0,0,0.0492828430951746,0,0,0.0221260317400923,0.00276904716510998,0.0140191303791651,0.00512938264563341,0.0194589558143131,0.00690246044594543,0.0110204584816821,0.00495828053174871,0.0216798345519164,0.00506932056925155,0.0104509633004715,0.00815902514900105,0.0482640088817779,0,0,0.00337199541280969,0.0650462495735387,0.00307033689999999,0.0174407644977442,0.0849281452721766,0.0465429309625763,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.8,46.4,6.3,0,79.7,10,145.8,3.7,16.5,6.4,"2016-05-31"
