DAY_OF_YEAR,s(DAY_OF_YEAR):NATURE_REGION7,s(DAY_OF_YEAR):NATURE_REGION8,s(DAY_OF_YEAR):NATURE_REGION9,s(DAY_OF_YEAR):NATURE_REGION10,s(DAY_OF_YEAR):NATURE_REGION11,s(DAY_OF_YEAR):NATURE_REGION14,s(DAY_OF_YEAR):NATURE_REGION18
60,-1.773940277,-1.461518577,-1.420729599,-2.134447275,-1.764107909,-1.698289201,-5189.796178
61,-1.738203267,-1.455868377,-1.373921386,-2.079702467,-1.715739284,-1.647054066,-5096.267274
62,-1.702477033,-1.450266189,-1.32717698,-2.025041792,-1.667351379,-1.595837524,-5002.695615
63,-1.666772351,-1.444760024,-1.280560188,-1.970549383,-1.618924915,-1.544658169,-4909.038445
64,-1.631099999,-1.439397892,-1.234134818,-1.916309373,-1.570440612,-1.493534595,-4815.253009
65,-1.595470751,-1.434227805,-1.187964677,-1.862405894,-1.521879191,-1.442485394,-4721.296551
66,-1.559895384,-1.429297775,-1.142113571,-1.80892308,-1.47322137,-1.391529161,-4627.126316
67,-1.524384674,-1.424655812,-1.096645308,-1.755945064,-1.424447872,-1.340684488,-4532.699548
68,-1.488949397,-1.420349928,-1.051623696,-1.703555978,-1.375539416,-1.289969969,-4437.973493
69,-1.45360033,-1.416428134,-1.00711254,-1.651839955,-1.326476722,-1.239404198,-4342.905395
70,-1.418348249,-1.412938442,-0.963175649,-1.600881129,-1.277240511,-1.189005768,-4247.452498
71,-1.383203929,-1.409928862,-0.91987683,-1.550763631,-1.227811503,-1.138793272,-4151.572047
72,-1.348178148,-1.407447406,-0.87727989,-1.501571596,-1.178170418,-1.088785304,-4055.221287
73,-1.313281681,-1.405542085,-0.835448635,-1.453389156,-1.128297978,-1.039000458,-3958.357462
74,-1.278525305,-1.404260911,-0.794446873,-1.406300444,-1.078174901,-0.989457326,-3860.937817
75,-1.243919795,-1.403651894,-0.754338412,-1.360389592,-1.027781908,-0.940174503,-3762.919596
76,-1.209475929,-1.403763046,-0.715187058,-1.315740734,-0.97709972,-0.891170581,-3664.260044
77,-1.175204481,-1.404642379,-0.677056618,-1.272438003,-0.926109057,-0.842464154,-3564.916406
78,-1.141116229,-1.406337903,-0.6400109,-1.230565532,-0.87479064,-0.794073816,-3464.845926
79,-1.107221948,-1.408897629,-0.604113711,-1.190207453,-0.823125187,-0.74601816,-3364.005849
80,-1.073532415,-1.41236957,-0.569428858,-1.1514479,-0.771093421,-0.698315779,-3262.353419
81,-1.040058406,-1.416801736,-0.536020148,-1.114371005,-0.718676061,-0.650985267,-3159.845882
82,-1.006810696,-1.422242138,-0.503951389,-1.079060901,-0.665853827,-0.604045218,-3056.440481
83,-0.973800064,-1.428738788,-0.473286386,-1.045601721,-0.61260744,-0.557514224,-2952.094461
84,-0.941037283,-1.436339698,-0.444088949,-1.014077598,-0.55891762,-0.51141088,-2846.765067
85,-0.908533131,-1.445092877,-0.416422883,-0.984572666,-0.504765087,-0.465753778,-2740.409543
86,-0.876298384,-1.455046338,-0.390351996,-0.957171056,-0.450130563,-0.420561512,-2632.985135
87,-0.844343818,-1.466248092,-0.365940096,-0.931956902,-0.394994766,-0.375852676,-2524.449086
88,-0.812678735,-1.47871543,-0.34323317,-0.908987017,-0.339346638,-0.331645903,-2414.778758
89,-0.781300729,-1.492221674,-0.322135701,-0.888101249,-0.283240404,-0.287960137,-2304.111274
90,-0.750201808,-1.506423804,-0.302484689,-0.869035978,-0.226761424,-0.244814473,-2192.65994
91,-0.719373949,-1.520978083,-0.28411672,-0.85152695,-0.169995246,-0.202228007,-2080.638534
92,-0.688809127,-1.535540775,-0.266868378,-0.835309911,-0.113027421,-0.160219833,-1968.260834
93,-0.658499318,-1.549768143,-0.250576249,-0.820120604,-0.055943499,-0.118809048,-1855.740615
94,-0.628436496,-1.56331645,-0.235076917,-0.805694775,0.001170969,-0.078014746,-1743.291655
95,-0.598612638,-1.57584196,-0.220206969,-0.79176817,0.058230435,-0.037856024,-1631.127732
96,-0.569019719,-1.587000936,-0.205802988,-0.778076531,0.115149348,0.001648025,-1519.462621
97,-0.539649714,-1.596449641,-0.191701561,-0.764355606,0.171842157,0.040478304,-1408.510101
98,-0.510494599,-1.603844339,-0.177739272,-0.750341138,0.228223314,0.078615718,-1298.483947
99,-0.481546349,-1.608841293,-0.163752706,-0.735768872,0.284207267,0.116041172,-1189.597937
100,-0.45279694,-1.611096767,-0.149578449,-0.720374554,0.339708467,0.15273557,-1082.065848
101,-0.424238348,-1.610267023,-0.135053086,-0.703893929,0.394641364,0.188679817,-976.1014575
102,-0.395862547,-1.606008326,-0.120013202,-0.68606274,0.448920408,0.223854817,-871.9185416
103,-0.367661513,-1.597976938,-0.104295381,-0.666616734,0.502460048,0.258241476,-769.7308776
104,-0.339627222,-1.585829124,-0.087736209,-0.645291655,0.555174735,0.291820699,-669.7522425
105,-0.311751649,-1.569221145,-0.070172272,-0.621823248,0.606978919,0.324573388,-572.1964134
106,-0.284026769,-1.547809267,-0.051440154,-0.595947258,0.657787049,0.35648045,-477.2771671
107,-0.256444559,-1.521249751,-0.03137644,-0.56739943,0.707513576,0.387522789,-385.2082808
108,-0.228996993,-1.489198861,-0.009817716,-0.535915509,0.75607295,0.41768131,-296.2035314
109,-0.201676047,-1.451312862,0.013399434,-0.501231239,0.80337962,0.446936916,-210.4766958
110,-0.174473696,-1.407248015,0.038438424,-0.463082367,0.849348037,0.475270514,-128.2415512
111,-0.147381916,-1.356660585,0.065462668,-0.421204635,0.89389265,0.502663007,-49.71187437
112,-0.120392683,-1.299206835,0.094635583,-0.375333791,0.936927909,0.529095301,24.89855756
113,-0.093497972,-1.234543028,0.126120583,-0.325205578,0.978368265,0.554548299,95.37596763
114,-0.066689757,-1.162325427,0.160081082,-0.270555741,1.018128167,0.579002907,161.5065788
115,-0.039961752,-1.082241629,0.196666546,-0.211141981,1.056122894,0.602440729,223.0876791
116,-0.013338836,-0.9945417,0.235776011,-0.147116155,1.092282598,0.624855939,280.1151928
117,0.013127149,-0.899962235,0.277091898,-0.078971052,1.126550293,0.646253583,332.7568598
118,0.039383475,-0.799255866,0.320289486,-0.007210701,1.158869421,0.666639066,381.186085
119,0.065377411,-0.693175229,0.365044056,0.067660866,1.189183421,0.686017792,425.5762734
120,0.091056229,-0.582472957,0.411030885,0.145139617,1.217435735,0.704395164,466.10083
121,0.116367198,-0.467901686,0.457925254,0.224721524,1.243569801,0.721776588,502.9331598
122,0.141257588,-0.350214049,0.505402442,0.305902554,1.26752906,0.738167467,536.2466677
123,0.165674671,-0.230162682,0.553137728,0.388178678,1.289256952,0.753573206,566.2147588
124,0.189565716,-0.108500217,0.600806391,0.471045863,1.308696918,0.76799921,593.010838
125,0.212877994,0.014020709,0.648083711,0.55400008,1.325792397,0.781450882,616.8083103
126,0.235558775,0.136647464,0.694644966,0.636537298,1.34048683,0.793933627,637.7805807
