"FFMC","s(FFMC)"
0,-1.1395666607627
0.1,-1.13837759293376
0.2,-1.13718854102719
0.3,-1.13599952096535
0.4,-1.13481054867062
0.5,-1.13362164006536
0.6,-1.13243281107194
0.7,-1.13124407761273
0.8,-1.13005545561009
0.9,-1.1288669609864
1,-1.12767860966402
1.1,-1.12649041756532
1.2,-1.12530240061267
1.3,-1.12411457472844
1.4,-1.12292695583499
1.5,-1.12173955985469
1.6,-1.12055240270991
1.7,-1.11936550032302
1.8,-1.11817886861639
1.9,-1.11699252351238
2,-1.11580648093337
2.1,-1.11462075680171
2.2,-1.11343536703978
2.3,-1.11225032756995
2.4,-1.11106565431459
2.5,-1.10988136319606
2.6,-1.10869747013673
2.7,-1.10751399105896
2.8,-1.10633094188514
2.9,-1.10514833853761
3,-1.10396619693877
3.1,-1.10278453301096
3.2,-1.10160336267656
3.3,-1.10042270185794
3.4,-1.09924256647746
3.5,-1.0980629724575
3.6,-1.09688393572041
3.7,-1.09570547218858
3.8,-1.09452759778436
3.9,-1.09335032843013
4,-1.09217368004825
4.1,-1.09099766856109
4.2,-1.08982230989102
4.3,-1.08864761996041
4.4,-1.08747361469162
4.5,-1.08630031000703
4.6,-1.085127721829
4.7,-1.08395586607989
4.8,-1.08278475868209
4.9,-1.08161441555795
5,-1.08044485262984
5.1,-1.07927608582014
5.2,-1.0781081310512
5.3,-1.0769410042454
5.4,-1.07577472132511
5.5,-1.07460929821269
5.6,-1.07344475083051
5.7,-1.07228109510094
5.8,-1.07111834694635
5.9,-1.0699565222891
6,-1.06879563705157
6.1,-1.06763570715612
6.2,-1.06647674852512
6.3,-1.06531877708094
6.4,-1.06416180874594
6.5,-1.0630058594425
6.6,-1.06185094509297
6.7,-1.06069708161974
6.8,-1.05954428494517
6.9,-1.05839257099162
7,-1.05724195568147
7.1,-1.05609245493707
7.2,-1.05494408468081
7.3,-1.05379686083505
7.4,-1.05265079932215
7.5,-1.05150591606448
7.6,-1.05036222698442
7.7,-1.04921974800433
7.8,-1.04807849504657
7.9,-1.04693848403353
8,-1.04579973088755
8.1,-1.04466225153102
8.2,-1.0435260618863
8.3,-1.04239117787576
8.4,-1.04125761542176
8.5,-1.04012539044668
8.6,-1.03899451887288
8.7,-1.03786501662273
8.8,-1.03673689961859
8.9,-1.03561018378285
9,-1.03448488503786
9.1,-1.03336101930599
9.2,-1.03223860250961
9.3,-1.03111765057109
9.4,-1.0299981794128
9.5,-1.0288802049571
9.6,-1.02776374312637
9.7,-1.02664880984296
9.8,-1.02553542102925
9.9,-1.02442359260762
10,-1.02331334050041
10.1,-1.02220468063001
10.2,-1.02109762891878
10.3,-1.01999220128908
10.4,-1.0188884136633
10.5,-1.01778628196379
10.6,-1.01668582211292
10.7,-1.01558705003306
10.8,-1.01448998164659
10.9,-1.01339463142023
11,-1.01230098768938
11.1,-1.0112090161865
11.2,-1.01011868189876
11.3,-1.00902994981334
11.4,-1.00794278491742
11.5,-1.00685715219818
11.6,-1.00577301664279
11.7,-1.00469034323843
11.8,-1.00360909697228
11.9,-1.00252924283152
12,-1.00145074580333
12.1,-1.00037357087488
12.2,-0.999297683033352
12.3,-0.998223047265922
12.4,-0.99714962855977
12.5,-0.996077391902073
12.6,-0.995006302280008
12.7,-0.993936324680755
12.8,-0.99286742409149
12.9,-0.991799565499391
13,-0.990732713891637
13.1,-0.989666834255405
13.2,-0.988601891577873
13.3,-0.987537850846219
13.4,-0.986474677047621
13.5,-0.985412335169256
13.6,-0.984350790198303
13.7,-0.983290007121939
13.8,-0.982229950927342
13.9,-0.981170586601691
14,-0.980111879132163
14.1,-0.979053793505935
14.2,-0.977996294710185
14.3,-0.976939347732093
14.4,-0.975882917558835
14.5,-0.974826969177589
14.6,-0.973771467575533
14.7,-0.972716377739845
14.8,-0.971661664657704
14.9,-0.970607293316285
15,-0.969553228702768
15.1,-0.968499435804331
15.2,-0.967445879608151
15.3,-0.966392525101405
15.4,-0.965339337271274
15.5,-0.964286281104932
15.6,-0.96323332158956
15.7,-0.962180423712334
15.8,-0.961127552460432
15.9,-0.960074672821033
16,-0.959021749781314
16.1,-0.957968748328453
16.2,-0.956915633449628
16.3,-0.955862370132017
16.4,-0.954808923362797
16.5,-0.953755258129147
16.6,-0.952701339418244
16.7,-0.951647132217265
16.8,-0.950592601513391
16.9,-0.949537712293797
17,-0.948482429545661
17.1,-0.947426718256163
17.2,-0.946370543412479
17.3,-0.945313870001787
17.4,-0.944256663011266
17.5,-0.943198887428092
17.6,-0.942140508239444
17.7,-0.941081490432501
17.8,-0.940021798994438
17.9,-0.938961398912436
18,-0.937900255173671
18.1,-0.93683833276532
18.2,-0.935775596674563
18.3,-0.934712011888577
18.4,-0.93364754339454
18.5,-0.93258215617963
18.6,-0.931515815231023
18.7,-0.9304484855359
18.8,-0.929380132081436
18.9,-0.928310719854811
19,-0.927240213843202
19.1,-0.926168579033786
19.2,-0.925095780413743
19.3,-0.924021782970248
19.4,-0.922946551690481
19.5,-0.92187005156162
19.6,-0.920792247570841
19.7,-0.919713104705324
19.8,-0.918632587952245
19.9,-0.917550662298784
20,-0.916467292732116
20.1,-0.915382444239421
20.2,-0.914296081807877
20.3,-0.91320817042466
20.4,-0.91211867507695
20.5,-0.911027560751923
20.6,-0.909934792436759
20.7,-0.908840335118634
20.8,-0.907744153784726
20.9,-0.906646213422213
21,-0.905546479018274
21.1,-0.904444915560086
21.2,-0.903341488034827
21.3,-0.902236161429674
21.4,-0.901128900731806
21.5,-0.900019670928401
21.6,-0.898908437006636
21.7,-0.897795163953659
21.8,-0.896679816727071
21.9,-0.895562360199476
22,-0.894442759228289
22.1,-0.893320978670925
22.2,-0.892196983384798
22.3,-0.891070738227324
22.4,-0.889942208055918
22.5,-0.888811357727994
22.6,-0.887678152100967
22.7,-0.886542556032254
22.8,-0.885404534379267
22.9,-0.884264051999423
23,-0.883121073750136
23.1,-0.881975564488822
23.2,-0.880827489072894
23.3,-0.879676812359768
23.4,-0.87852349920686
23.5,-0.877367514471584
23.6,-0.876208823011354
23.7,-0.875047389683587
23.8,-0.873883179345696
23.9,-0.872716156855097
24,-0.871546287069205
24.1,-0.870373534845434
24.2,-0.8691978650412
24.3,-0.868019242513918
24.4,-0.866837632121002
24.5,-0.865652998719867
24.6,-0.864465307167929
24.7,-0.863274522322602
24.8,-0.862080609041301
24.9,-0.860883532181442
25,-0.859683256600438
25.1,-0.858479747155706
25.2,-0.85727296870466
25.3,-0.856062886104714
25.4,-0.854849464213285
25.5,-0.853632667887787
25.6,-0.852412461985634
25.7,-0.851188811364242
25.8,-0.849961680881025
25.9,-0.8487310353934
26,-0.847496839758779
26.1,-0.846259058834579
26.2,-0.845017657478215
26.3,-0.843772600547101
26.4,-0.842523852898653
26.5,-0.841271379390284
26.6,-0.840015144879412
26.7,-0.838755114223449
26.8,-0.837491252279811
26.9,-0.836223523905913
27,-0.83495189395917
27.1,-0.833676327296997
27.2,-0.832396788776809
27.3,-0.831113243256021
27.4,-0.829825655592048
27.5,-0.828533990642304
27.6,-0.827238213264205
27.7,-0.825938288315165
27.8,-0.824634180652601
27.9,-0.823325855133925
28,-0.822013276616554
28.1,-0.820696409957902
28.2,-0.819375220015385
28.3,-0.818049671646417
28.4,-0.816719729708413
28.5,-0.815385359058788
28.6,-0.814046524554957
28.7,-0.812703191054335
28.8,-0.811355323414337
28.9,-0.810002886492378
29,-0.808645845145873
29.1,-0.807284164232237
29.2,-0.805917808608884
29.3,-0.80454674313323
29.4,-0.80317093266269
29.5,-0.801790342054678
29.6,-0.80040493616661
29.7,-0.7990146798559
29.8,-0.797619537979963
29.9,-0.796219475396215
30,-0.79481445696207
30.1,-0.793404447534943
30.2,-0.79198941197225
30.3,-0.790569315131405
30.4,-0.789144121869822
30.5,-0.787713797044918
30.6,-0.786278305514106
30.7,-0.784837612134803
30.8,-0.783391681764422
30.9,-0.781940479260379
31,-0.780483969480088
31.1,-0.779022117280965
31.2,-0.777554887520425
31.3,-0.776082245055883
31.4,-0.774604154744753
31.5,-0.77312058144445
31.6,-0.771631490012389
31.7,-0.770136845305986
31.8,-0.768636612182655
31.9,-0.767130755499812
32,-0.76561924011487
