"FISHNET_AB","X","Y","COMBINED_STATIC_EFFECTS"
3155,-119.635367042,55.9415656316,-6.95888631645167
3156,-119.475699374,55.9474804838,-6.84172469835569
3226,-119.465371821,55.8578673275,-6.40891799986379
3227,-119.3060111,55.8635565388,-6.0371025199511
3293,-119.926808577,55.7496334035,-7.49609650282318
3294,-119.772921012,55.7562958022,-6.86445385394243
3295,-119.614041756,55.7623762108,-6.60589294229796
3296,-119.455102595,55.7682516005,-6.50959536027876
3297,-119.296105558,55.7739218075,-6.53095791752574
3362,-119.998876057,55.6317311071,-9.25698322922674
3363,-119.920073535,55.6603136928,-7.98684449418799
3364,-119.761987711,55.6667173832,-7.52685095358044
3365,-119.603469201,55.6727775177,-6.77556233825859
3366,-119.444891249,55.6786333109,-6.77093358546778
3367,-119.286255863,55.6842846002,-6.70543203001845
3368,-119.127565061,55.6897312288,-6.91237680263777
3432,-119.994384897,55.5609341906,-8.25269640100346
3433,-119.909214648,55.5708927771,-7.61060300764684
3434,-119.751115858,55.5771362291,-7.58133212359923
3435,-119.592956091,55.5831761813,-7.00762738270221
3436,-119.434737335,55.589012467,-7.02224886575344
3437,-119.276461587,55.5946449245,-7.0658602056702
3438,-119.118130847,55.6000733981,-6.68866577099354
3468,-114.352699063,55.6675318761,-8.07853860985979
3469,-114.193672988,55.6665902818,-9.08969804040933
3470,-114.034657364,55.6654427035,-8.87176465411318
3471,-113.875654252,55.6640891732,-8.93354120710501
3472,-113.716665709,55.6625297287,-10.0725494248956
3473,-113.557693793,55.6607644135,-10.5322741525982
3475,-113.239808064,55.6566163739,-12.6869346580412
3502,-119.988907762,55.4741913415,-8.00936284007898
3508,-119.108749622,55.5104131885,-6.25136293991033
3509,-118.950724358,55.51562013,-6.82842317374135
3510,-118.792648504,55.5206234684,-6.45106918880835
3511,-118.634524058,55.5254230654,-6.29452469693982
3536,-114.671526876,55.578907575,-7.65442694871785
3537,-114.512849588,55.5783797912,-7.79337851558862
3538,-114.354178582,55.5776466649,-7.73634489366328
3539,-114.195515902,55.5767082165,-7.87490531016426
3540,-114.036863594,55.575564472,-8.85353302392146
3541,-113.8782237,55.5742154634,-8.55223512587872
3542,-113.719598263,55.5726612281,-10.4173803601668
