"FISHNET_AB","DAY_OF_YEAR","DIST_HIGHWAY","DIST_ROAD","DIST_RAIL","DIST_POWERLINE","DIST_CUTLINE","FIRE_CONTROL_ZONE","ECOZONE","ZONE_NAME","NATURE_REGION","NSRNAME","X","Y","INF","WII","WUI","PROV_REC_AREA","PUBLIC_REC_AREA","PUBLIC_TRAIL_AREA","FOREST_NAME","FOREST_ID","C.1","C.2","C.3","C.4","C.5","C.6","C.7","D.1.D.2","M.1.M.2.10","M.1.M.2.15","M.1.M.2.20","M.1.M.2.25","M.1.M.2.30","M.1.M.2.35","M.1.M.2.40","M.1.M.2.45","M.1.M.2.50","M.1.M.2.55","M.1.M.2.60","M.1.M.2.65","M.1.M.2.70","M.1.M.2.75","M.1.M.2.80","M.1.M.2.85","M.1.M.2.90","NON.FUEL","O.1a","S.1","S.2","VEG.NON.FUEL","WATER","SHAPE_AREA","DATE.x","YEAR","MONTH","DAY","OTH","LTG","RES","FOR","RAI","REC","INC","UND","PRE","MIS","RST","GAS","POW","AGR","UNI","year","mon","day","TEMP","RH","WS","PREC","FFMC","DMC","DC","ISI","BUI","FWI","DATE.y"
4222,152,0,28927.0822794,0,0,397584.073181,20,9,"Boreal Plains",1,"Central Mixedwood",-116.850504788,54.6662330564,0.7919713569,0,0,0,0,0,"Whitecourt Forest Area",7,0.0160485282080875,0.487186722898447,0.0112656311285966,0.00776915124796659,1e-04,0,0,0.060244091947674,0,0,0.0169006400367724,0.00252394310126451,0.00781144860409068,0.00369093581432045,0.0112884623326452,0.0248942108275894,0.119516572628134,0.0582118163363214,0.0266559718765355,0.0173322909803121,0.0174757445182576,0.00751521451949375,0.0307989871465187,0,0,0.00314449343495694,0.054895949307124,0,0,0.00279389818115497,0.0119352949237364,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,17.2,39.8,5,0,57.6,3.3,131.3,0.7,6.4,0.2,"2016-05-31"
4223,152,0,0,0,6150.57625658,383713.374656,20,9,"Boreal Plains",1,"Central Mixedwood",-116.695470113,54.6685023314,0.4482009144,0.08009984941,0.005721925528,0,0,0,"Whitecourt Forest Area",7,0.0152182471649241,0.198308595351771,0.00800728585516768,0.000807847467402964,0,0,0,0.0432088417057374,0,0,0.0178895604550823,0.00174004530385985,0.00500901615832919,0.00395112134687134,0.032708314640975,0.0514175941841279,0.273292360780684,0.0633637968211048,0.0151510045092177,0.0153900997508101,0.0119329708980061,0.00261314685000019,0.00618639309175454,0,0,0.00196772084761856,0.145218254309844,0,0,0.000464038100000005,0.0861537444067112,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,17.2,38.1,5,0,61.6,3.4,113.6,0.9,6.4,0.5,"2016-05-31"
4224,152,0,403.813399251,0,10049.1932751,362551.358863,20,9,"Boreal Plains",11,"Lower Foothills",-116.540414743,54.6705732719,0.5047022635,0,0,0,0,0,"Whitecourt Forest Area",7,0.0600572186282367,0.271502820239558,0.0394406845342605,2e-04,0.00110416250000009,0,0,0.0512701364069428,0,0,0.00798968674569262,0.00241531966397085,0.0081342694340663,0.00463390930245236,0.00544559090921042,0.00572435526148601,0.0847936478059837,0.066824149085483,0.0149382261730547,0.00482596125605552,0.0113281193904584,0.00451822509999914,0.0217593482193223,0,0,0.0679481225733017,0.22858664364649,0,0,0.00405788569999879,0.0325015174239762,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,16.6,38,5.4,0,64.9,3.3,105.6,1,6.2,0.4,"2016-05-31"
4225,152,0,338.132338577,0,10223.5391607,325062.235994,20,9,"Boreal Plains",11,"Lower Foothills",-116.385340568,54.6724458223,0.6394340627,0.02325731718,0,0,0,0,"Whitecourt Forest Area",7,0.0420627584307381,0.119527874725287,0.0162045371726617,0.153939370363887,0.001,0,0,0.0309265734238742,0,0,0.0188110055136827,0.00353896430737084,0.0291795702175851,0.0523171987617987,0.0897394745954454,0.0225651387081944,0.0461922938718564,0.0225435373178059,0.0306364533495865,0.0209109538457651,0.0223027294736423,0.0117258543428672,0.043881653922401,0,0,0.0332737872088848,0.176984150094953,0,0,0.00489907227691384,0.00683704807479826,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,15.7,39.7,6.6,0,67.2,3.2,111.5,0.9,6,0.2,"2016-05-31"
4226,152,0,47049.3922178,0,12658.0774161,295008.489708,20,9,"Boreal Plains",11,"Lower Foothills",-116.230249477,54.6741199325,0.911762178,0.1145735622,0,0,0,0,"Whitecourt Forest Area",7,0.0473107076243924,0.180731970025627,0.0167438927342884,0.107220235423241,0.00137107769999962,0,0,0.0252649066704978,0,0,0.0217317259721088,0.00693015920026914,0.00963182365000021,0.0332725688261684,0.0875080192153882,0.0369595309811056,0.0428170758380295,0.0519232895154319,0.0244199604083442,0.0222909559923699,0.0192019805223,0.0196173705944317,0.0412014301230076,0,0,0.009203343060191,0.188559751119036,0,0.000859716700000135,0.0040915697539061,0.00113693834986546,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14.8,42.4,8.2,0,69.1,3.1,128,0.9,6,0.1,"2016-05-31"
4227,152,0,21095.5631963,0,21510.5507894,384422.428358,20,9,"Boreal Plains",10,"Upper Foothills",-116.075143361,54.6755955577,0.8626886701,0,0,0,0,0,"Whitecourt Forest Area",7,0.110133778956991,0.282962946832955,0.0242527917241048,0.184024209530928,0.00314663428715143,0,0,0.00647487629451018,0,0,0.00224765701626602,0.00100802004999979,0.00535494721912105,0.00880773476861435,0.0301302414971302,0.00568672112677796,0.00396375275749334,0.00338581545000061,0.00289206533890384,0.00330803632162482,0.00380000004999992,0.00492162523138183,0.012912750231785,0,0,0.0071739498387699,0.270084882244326,0.00296343994999895,0.0175161074222941,0.00244701585887236,4e-04,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,14,45.1,9.6,0,70.1,3.1,144.2,0.9,6.2,0.1,"2016-05-31"
4228,152,0,56011.53326,0,17638.9629065,396799.756661,22,9,"Boreal Plains",10,"Upper Foothills",-115.920024112,54.6768726583,0.6535931629,0.169241052,0.06526549093,0,0,0,"Whitecourt Forest Area",7,0.109766532306351,0.0809333260937329,0.091396058552805,0.00588688835509268,0,0,0,0.0142141759775735,0,0,0.000565625,0,0,0,0.00207146830581316,0,0.0410331090109313,0,0,0,0,0,0,0,0,0.264135026743109,0.386071964156021,4e-04,0,0.000479443299999984,0.00304638219857106,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.5,46.7,9.4,0,69.7,3.3,145.7,0.9,6.5,0.2,"2016-05-31"
4229,152,0,61814.2095545,0,4433.26170217,398874.195083,22,9,"Boreal Plains",10,"Upper Foothills",-115.764893624,54.6779512001,0.6044201433,0.169226836,0.07437792388,0,0,0,"Whitecourt Forest Area",7,0.0755018208981638,0.0977934806406327,0.142127230216117,0.000865625,0,0,0,0.0267399040274034,0,0,2e-04,0,0,0,0,0,0.00935298081110902,0,0,0,0,0,0,0,0,0.322626376216301,0.311459934785485,0.00116403810000001,7e-04,0.000339502000000328,0.0111291021054279,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.4,47.1,8.1,0,68.7,3.6,132.8,1,6.8,0.5,"2016-05-31"
4230,152,0,46311.6329187,0,6341.01804454,335876.321578,22,9,"Boreal Plains",10,"Upper Foothills",-115.60975379,54.6788311541,0.7070665117,0.3872073207,0.1500708244,0,0,0,"Whitecourt Forest Area",7,0.044085503075197,0.307102851904038,0.127992383960105,0.073427709379593,0,0,0,0.0202900878832317,0,0,0.00615727094296588,3e-04,0.000407971074933202,0.00143872069999919,0.00826921615681326,0,0.00979570040454419,0,0.00316835162645039,0.00354550784999982,4e-04,0.001,0.0170604618931345,0,0,0.0911425264009566,0.218047938736834,0.0032848267000005,0.00773299205499746,0.0112509020059278,0.04409907432632,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.5,46.5,6.9,0,68.2,3.8,112.9,1.2,7,0.9,"2016-05-31"
4231,152,12592.2061662,171863.145387,0,26295.1613066,226604.256502,22,9,"Boreal Plains",10,"Upper Foothills",-115.454606506,54.6795124969,0.8836145692,0.841371832,0.5597749082,0,0,0,"Whitecourt Forest Area",7,0.0683250788908006,0.327442683713132,0.0149038893970435,0.0443639446935205,0,0,0,0.0469941527801104,0,0,0.0114455619697632,0.0012,0.00274789186640614,0.00484537399769676,0.00890424018844878,0.00312856444999995,0.0145125671467667,0.00614058700959921,0.0105973722282502,0.0025237939372148,0.0116851379166378,0.00607722085095751,0.0456662363217971,0,0,0.0244132409376303,0.256896960084389,0.005,0.00893327963911031,0.0566151928986507,0.0166370290820746,1e+08,2016-05-31,"2016","05","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,31,13.8,45.5,6.4,0,68.8,4.1,94.2,1.4,7,1.3,"2016-05-31"
