"D.1.D.2","s(D.1.D.2)"
0,0.159983195197175
0.01,0.145169269206497
0.02,0.130355288860493
0.03,0.115540807567372
0.04,0.100725123132259
0.05,0.0859079077590263
0.06,0.0710889329499703
0.07,0.0562679128170697
0.08,0.0414445055724933
0.09,0.0266184766448266
0.1,0.011789867474716
0.11,-0.0030412376251926
0.12,-0.0178747503946056
0.13,-0.032710577122328
0.14,-0.0475486236984911
0.15,-0.0623887960132263
0.16,-0.0772309999566648
0.17,-0.0920751414189379
0.18,-0.10692112629025
0.19,-0.121768939242859
0.2,-0.136618870916646
0.21,-0.151471286219436
0.22,-0.166326550059056
0.23,-0.181185027343335
0.24,-0.196047082980099
0.25,-0.210913081877175
0.26,-0.22578338894239
0.27,-0.240658369083571
0.28,-0.255538368359555
0.29,-0.270423442352247
0.3,-0.285313418636935
0.31,-0.300208118664089
0.32,-0.315107363884175
0.33,-0.330010975747663
0.34,-0.34491877570502
0.35,-0.359830585206715
0.36,-0.374746225703216
0.37,-0.38966551864499
0.38,-0.404588285482507
0.39,-0.419514347666234
0.4,-0.43444352664664
0.41,-0.449375643874192
0.42,-0.464310520799358
0.43,-0.479247978872608
0.44,-0.494187839544409
0.45,-0.509129924265229
0.46,-0.524074054485536
0.47,-0.539020051655799
0.48,-0.553967737226486
0.49,-0.568916932648064
0.5,-0.583867459371003
0.51,-0.59881913884577
0.52,-0.613771792522834
0.53,-0.628725241852662
0.54,-0.643679308285723
0.55,-0.658633813272484
0.56,-0.673588578263415
0.57,-0.688543429494408
