"DIST_ROAD","s(DIST_ROAD)"
0,-2.27922462665022
100,-2.2716217557888
200,-2.26401905031802
300,-2.25641667562849
400,-2.24881479711084
500,-2.24121358015572
600,-2.23361319015375
700,-2.22601379249555
800,-2.21841555257176
900,-2.210818635773
1000,-2.20322320748991
1100,-2.19562943311311
1200,-2.18803747803324
1300,-2.18044750764093
1400,-2.17285968732679
1500,-2.16527418248147
1600,-2.15769115849559
1700,-2.15011078075979
1800,-2.14253321466469
1900,-2.13495862560091
2000,-2.1273871789591
2100,-2.11981904012988
2200,-2.11225437450387
2300,-2.10469334747172
2400,-2.09713612442404
2500,-2.08958287075148
2600,-2.08203375184465
2700,-2.07448893309418
2800,-2.06694857989072
2900,-2.05941285762488
3000,-2.05188193168729
3100,-2.04435596746859
3200,-2.03683513035941
3300,-2.02931958575036
3400,-2.0218094990321
3500,-2.01430503559523
3600,-2.0068063608304
3700,-1.99931364012823
3800,-1.99182703887935
3900,-1.98434672247439
4000,-1.97687285630399
4100,-1.96940560575876
4200,-1.96194513622934
4300,-1.95449161310636
4400,-1.94704520178046
4500,-1.93960606764224
4600,-1.93217437608236
4700,-1.92475029249143
4800,-1.91733398226009
4900,-1.90992561077897
5000,-1.90252534343869
5100,-1.89513334562989
5200,-1.88774978274319
5300,-1.88037482016922
5400,-1.87300862329862
5500,-1.86565135752201
5600,-1.85830318823003
5700,-1.85096428081329
5800,-1.84363480066244
5900,-1.8363149131681
6000,-1.8290047837209
6100,-1.82170457771147
6200,-1.81441446053044
6300,-1.80713459756843
6400,-1.79986515421609
6500,-1.79260629586404
6600,-1.7853581879029
6700,-1.77812099572331
6800,-1.77089488471589
6900,-1.76368002027129
7000,-1.75647656778012
7100,-1.74928469263301
7200,-1.7421045602206
7300,-1.73493633593351
7400,-1.72778018516237
7500,-1.72063627329782
7600,-1.71350476573048
7700,-1.70638582785098
7800,-1.69927962504996
7900,-1.69218632271804
8000,-1.68510608624584
8100,-1.67803908102401
8200,-1.67098547244316
8300,-1.66394542589394
8400,-1.65691910676696
8500,-1.64990668045286
8600,-1.64290831234228
8700,-1.63592416782582
8800,-1.62895441229414
8900,-1.62199921113784
9000,-1.61505872974758
9100,-1.60813313351397
9200,-1.60122258782764
9300,-1.59432725807923
9400,-1.58744730965937
9500,-1.58058290795867
9600,-1.57373421836778
9700,-1.56690140627732
9800,-1.56008463707792
9900,-1.55328407616022
10000,-1.54649988891483
10100,-1.53973224073239
10200,-1.53298129700354
10300,-1.52624722311889
10400,-1.51953018446908
10500,-1.51283034644474
10600,-1.5061478744365
10700,-1.49948293383498
10800,-1.49283569003082
10900,-1.48620630841465
11000,-1.47959495437709
11100,-1.47300179330878
11200,-1.46642699060034
11300,-1.45987071164241
11400,-1.45333312182561
11500,-1.44681438654058
11600,-1.44031467117793
11700,-1.43383414112831
11800,-1.42737296178234
11900,-1.42093129853065
12000,-1.41450931676387
12100,-1.40810718187264
12200,-1.40172505924757
12300,-1.3953631142793
12400,-1.38902151235846
12500,-1.38270041887568
12600,-1.37639999922158
12700,-1.3701204187868
12800,-1.36386184296197
12900,-1.35762443713772
13000,-1.35140836670467
13100,-1.34521379705346
13200,-1.33904089357471
13300,-1.33288982165905
13400,-1.32676074669712
13500,-1.32065383407954
13600,-1.31456924919695
13700,-1.30850715743996
13800,-1.30246772419922
13900,-1.29645111486535
14000,-1.29045749482898
14100,-1.28448702948074
14200,-1.27853988421127
14300,-1.27261622441117
14400,-1.2667162154711
14500,-1.26084002278168
14600,-1.25498781173353
14700,-1.2491597477173
14800,-1.24335599612359
14900,-1.23757672234306
15000,-1.23182209176632
15100,-1.226092269784
15200,-1.22038742178674
15300,-1.21470771316517
15400,-1.2090533093099
15500,-1.20342437561159
15600,-1.19782107746084
15700,-1.1922435802483
15800,-1.18669204936458
15900,-1.18116665020033
16000,-1.17566754814617
16100,-1.17019490859273
16200,-1.16474889693064
16300,-1.15932967855053
16400,-1.15393741884303
16500,-1.14857228319876
16600,-1.14323443700837
16700,-1.13792404566247
16800,-1.1326412745517
16900,-1.12738628906668
17000,-1.12215925459805
17100,-1.11696033653643
17200,-1.11178970027246
17300,-1.10664751119677
17400,-1.10153393469997
17500,-1.09644913617271
17600,-1.09139328100562
17700,-1.08636653458931
17800,-1.08136906231443
17900,-1.0764010295716
18000,-1.07146260175145
18100,-1.06655394424461
18200,-1.06167522244171
18300,-1.05682660173338
18400,-1.05200824751024
18500,-1.04722032516294
18600,-1.04246300008209
18700,-1.03773643765833
18800,-1.03304080328229
18900,-1.02837626234459
19000,-1.02374298023587
19100,-1.01914112234676
19200,-1.01457085406788
19300,-1.01003234078986
19400,-1.00552574790334
19500,-1.00105124079894
19600,-0.996608984867294
19700,-0.99219914549903
19800,-0.987821888084777
19900,-0.983477378015166
20000,-0.979165780680825
20100,-0.974887261472385
20200,-0.970641985780475
20300,-0.966430118995724
20400,-0.962251826508762
20500,-0.958107273710218
20600,-0.953996625990722
20700,-0.949920048740903
20800,-0.945877704226003
20900,-0.941869613242677
21000,-0.937895600347625
21100,-0.933955475648793
21200,-0.93004904925413
21300,-0.926176131271581
21400,-0.922336531809093
21500,-0.918530060974613
21600,-0.914756528876086
21700,-0.91101574562146
21800,-0.907307521318681
21900,-0.903631666075696
22000,-0.89998799000045
22100,-0.896376303200892
22200,-0.892796415784967
22300,-0.889248137860621
22400,-0.885731279535802
22500,-0.882245650918456
22600,-0.878791062116529
22700,-0.875367323237968
22800,-0.871974244390719
22900,-0.86861163568273
23000,-0.865279307221946
23100,-0.861977069116315
23200,-0.858704731473782
23300,-0.855462104402294
23400,-0.852248998009799
23500,-0.849065222404241
23600,-0.845910587693569
23700,-0.842784903985727
23800,-0.839687981388664
23900,-0.836619630010326
24000,-0.833579659958658
24100,-0.830567881341608
24200,-0.827584104267122
24300,-0.824628138843147
24400,-0.821699795177629
24500,-0.818798883378515
24600,-0.815925213553751
24700,-0.813078595811284
24800,-0.81025884025906
24900,-0.807465757005027
25000,-0.80469915615713
25100,-0.801958847823315
25200,-0.799244642111531
25300,-0.796556349129723
25400,-0.793893778985837
25500,-0.791256741787821
25600,-0.78864504764362
25700,-0.786058506661182
25800,-0.783496928948452
25900,-0.780960124613378
26000,-0.778447903763906
26100,-0.775960076507983
26200,-0.773496452953555
26300,-0.771056843208568
26400,-0.768641057380969
26500,-0.766248905578705
26600,-0.763880197909722
26700,-0.761534744481967
26800,-0.759212355403386
26900,-0.756912840781927
27000,-0.754636010725534
27100,-0.752381675342155
27200,-0.750149644739737
27300,-0.747939729026226
27400,-0.745751738309569
27500,-0.743585482697712
27600,-0.741440772298601
27700,-0.739317417220184
27800,-0.737215227570406
27900,-0.735134013457215
28000,-0.733073584988556
28100,-0.731033752272377
28200,-0.729014325416624
28300,-0.727015114529244
28400,-0.725035929718182
28500,-0.723076581091386
28600,-0.721136878756802
28700,-0.719216632822377
28800,-0.717315653396057
28900,-0.715433750585789
29000,-0.713570734499519
29100,-0.711726415245194
29200,-0.709900602930761
29300,-0.708093107664165
29400,-0.706303739553354
29500,-0.704532308706273
29600,-0.702778625230871
29700,-0.701042499235093
29800,-0.699323740826885
29900,-0.697622160114194
30000,-0.695937567204968
30100,-0.694269772207151
30200,-0.692618585228692
30300,-0.690983816377535
30400,-0.689365275761629
30500,-0.687762773488919
30600,-0.686176119667352
30700,-0.684605124404875
30800,-0.683049597809434
30900,-0.681509349988975
31000,-0.679984191051447
31100,-0.678473931104793
31200,-0.676978380256962
31300,-0.675497348615899
31400,-0.674030646289553
31500,-0.672578083385868
31600,-0.671139470012791
31700,-0.669714616278269
31800,-0.66830333229025
31900,-0.666905428156678
32000,-0.665520713985501
32100,-0.664148999884665
32200,-0.662790095962117
32300,-0.661443812325803
32400,-0.66010995908367
32500,-0.658788346343664
32600,-0.657478784213732
32700,-0.656181082801821
32800,-0.654895052215877
32900,-0.653620502563846
33000,-0.652357243953676
33100,-0.651105086493312
33200,-0.649863840290701
33300,-0.64863331545379
33400,-0.647413322090525
33500,-0.646203670308854
33600,-0.645004170216721
33700,-0.643814631922074
33800,-0.64263486553286
33900,-0.641464681157025
34000,-0.640303888902516
34100,-0.639152298877279
34200,-0.63800972118926
34300,-0.636875965946406
34400,-0.635750843256665
34500,-0.634634163227981
34600,-0.633525735968303
34700,-0.632425371585575
34800,-0.631332880187745
34900,-0.630248071882761
35000,-0.629170756778567
35100,-0.62810074498311
35200,-0.627037846604338
35300,-0.625981871750197
35400,-0.624932630528632
35500,-0.623889933047591
35600,-0.622853589415021
35700,-0.621823409738868
35800,-0.620799204127077
35900,-0.619780782687597
36000,-0.618767955528373
36100,-0.617760532757353
36200,-0.616758324482481
36300,-0.615761140811706
36400,-0.614768791852974
36500,-0.61378108771423
36600,-0.612797838503423
36700,-0.611818854328497
36800,-0.610843945297401
36900,-0.60987292151808
37000,-0.608905593098481
37100,-0.60794177014655
37200,-0.606981262770234
37300,-0.60602388107748
37400,-0.605069435176234
37500,-0.604117735174442
37600,-0.603168591180052
37700,-0.602221813301009
37800,-0.601277211645261
37900,-0.600334596320754
38000,-0.599393777435433
38100,-0.598454565097247
38200,-0.597516769414141
38300,-0.596580200494062
38400,-0.595644668444957
38500,-0.594709983374772
38600,-0.593775953360825
38700,-0.592842285254587
38800,-0.591908539834474
38900,-0.590974266498911
39000,-0.590039014646324
39100,-0.589102333675138
39200,-0.588163772983778
39300,-0.587222881970671
39400,-0.586279210034242
39500,-0.585332306572916
39600,-0.584381720985119
39700,-0.583427002669275
39800,-0.582467701023812
39900,-0.581503365447153
40000,-0.580533545337725
40100,-0.579557790093953
40200,-0.578575649114263
40300,-0.577586671797079
40400,-0.576590407540828
40500,-0.575586405743935
40600,-0.574574215804826
40700,-0.573553387121925
40800,-0.572523469093658
40900,-0.571484011118451
41000,-0.57043456259473
41100,-0.56937467292092
41200,-0.568303891495445
41300,-0.567221767716733
41400,-0.566127850983208
41500,-0.565021690693295
41600,-0.563902836245421
41700,-0.56277083703801
41800,-0.561625242469488
41900,-0.560465601938281
42000,-0.559291464842814
42100,-0.558102380581513
42200,-0.556897898552802
42300,-0.555677568155108
42400,-0.554440938786856
42500,-0.553187559846471
42600,-0.55191698073238
42700,-0.550628750843006
42800,-0.549322419576777
42900,-0.547997536332117
43000,-0.546653650507452
43100,-0.545290311501207
43200,-0.543907068711807
43300,-0.542503471537679
43400,-0.541079069377248
43500,-0.539633411628939
43600,-0.538166047691178
43700,-0.53667652696239
43800,-0.535164398841
43900,-0.533629212725435
44000,-0.532070518014119
44100,-0.530487864105478
44200,-0.528880800397937
44300,-0.527248876289923
44400,-0.52559164117986
44500,-0.523908644466174
44600,-0.522199435547291
44700,-0.520463563821635
44800,-0.518700578687633
44900,-0.516910029543709
45000,-0.51509146578829
45100,-0.513244436819801
45200,-0.511368492036667
45300,-0.509463180837314
45400,-0.507528052620167
45500,-0.505562656783652
45600,-0.503566542726193
45700,-0.501539259846218
45800,-0.499480357542151
45900,-0.497389385212417
46000,-0.495265892255442
46100,-0.493109428069652
46200,-0.490919542053472
46300,-0.488695783605327
46400,-0.486437702123644
46500,-0.484144847006847
46600,-0.481816767653362
46700,-0.479453013461613
46800,-0.477053133830028
46900,-0.474616678157032
47000,-0.472143195841049
47100,-0.469632236280506
47200,-0.467083348873827
47300,-0.464496083019439
47400,-0.461869988115766
47500,-0.459204613561234
47600,-0.45649950875427
47700,-0.453754223093297
47800,-0.450968305976742
47900,-0.44814130680303
48000,-0.445272774970587
48100,-0.442362259877838
48200,-0.439409310923208
48300,-0.436413477505123
48400,-0.433374309022009
48500,-0.430291354872291
48600,-0.427164164454394
48700,-0.423992287166744
48800,-0.420775272407766
48900,-0.417512669575887
49000,-0.41420402806953
49100,-0.410848897287123
49200,-0.40744682662709
49300,-0.403997487628387
49400,-0.400501265857931
49500,-0.39695880559234
49600,-0.393370751467758
49700,-0.389737748120331
49800,-0.386060440186204
49900,-0.382339472301521
50000,-0.378575489102428
50100,-0.37476913522507
50200,-0.370921055305591
50300,-0.367031893980138
50400,-0.363102295884854
50500,-0.359132905655885
50600,-0.355124367929376
50700,-0.351077327341472
50800,-0.346992428528318
50900,-0.342870316126058
51000,-0.338711634770839
51100,-0.334517029098805
51200,-0.3302871437461
51300,-0.326022623348871
51400,-0.321724112543262
51500,-0.317392255965418
51600,-0.313027698251484
51700,-0.308631084037605
51800,-0.304203057959926
51900,-0.299744264654593
52000,-0.29525534875775
52100,-0.290736954905542
52200,-0.286189727734114
52300,-0.281614311879612
52400,-0.27701135197818
52500,-0.272381492665963
52600,-0.267725378579106
52700,-0.263043654353756
52800,-0.258336964626055
52900,-0.25360595403215
53000,-0.248851267208185
53100,-0.244073548790306
53200,-0.239273443414657
53300,-0.234451595717384
53400,-0.229608650334631
53500,-0.224745251902544
53600,-0.219862045057268
53700,-0.214959674434947
53800,-0.210038784671727
53900,-0.205100020403753
54000,-0.20014402626717
54100,-0.195171446898121
54200,-0.190182926932754
54300,-0.185179111007213
54400,-0.180160643757642
54500,-0.175128169820188
54600,-0.170082333830994
54700,-0.165023780426206
54800,-0.159953154241969
54900,-0.154871099914428
55000,-0.149778262079727
55100,-0.144675285374013
55200,-0.13956281443343
55300,-0.134441493894123
55400,-0.129311968392237
55500,-0.124174882563917
55600,-0.119030881045308
55700,-0.113880608472555
55800,-0.108724709481804
55900,-0.103563828709198
56000,-0.0983986107908838
56100,-0.0932297003630057
56200,-0.0880577420617091
56300,-0.0828833805231385
56400,-0.0777072603834394
