"FFMC","s(FFMC)"
0,-2.55266881780808
0.1,-2.54800052072051
0.2,-2.54333223676795
0.3,-2.53866397908543
0.4,-2.53399576080796
0.5,-2.52932759507055
0.6,-2.52465949500822
0.7,-2.519991473756
0.8,-2.51532354444889
0.9,-2.51065572022191
1,-2.50598801421008
1.1,-2.50132043954842
1.2,-2.49665300937194
1.3,-2.49198573681566
1.4,-2.48731863501459
1.5,-2.48265171710376
1.6,-2.47798499621817
1.7,-2.47331848549285
1.8,-2.46865219806281
1.9,-2.46398614706307
2,-2.45932034562865
2.1,-2.45465480689455
2.2,-2.44998954399581
2.3,-2.44532457006742
2.4,-2.44065989824442
2.5,-2.43599554166182
2.6,-2.43133151345463
2.7,-2.42666782675787
2.8,-2.42200449470656
2.9,-2.41734153043571
3,-2.41267894708034
3.1,-2.40801675777547
3.2,-2.40335497565612
3.3,-2.39869361385729
3.4,-2.39403268551401
3.5,-2.38937220376129
3.6,-2.38471218173415
3.7,-2.38005263256761
3.8,-2.37539356939669
3.9,-2.37073500535639
4,-2.36607695358173
4.1,-2.36141942720774
4.2,-2.35676243936943
4.3,-2.35210600320182
4.4,-2.34745013183992
4.5,-2.34279483841874
4.6,-2.33814013607331
4.7,-2.33348603793865
4.8,-2.32883255714976
4.9,-2.32417970684167
5,-2.31952750014939
5.1,-2.31487595020793
5.2,-2.31022507015233
5.3,-2.30557487311758
5.4,-2.30092537223871
5.5,-2.29627658065074
5.6,-2.29162851148867
5.7,-2.28698117788754
5.8,-2.28233459298235
5.9,-2.27768876990812
6,-2.27304372179986
6.1,-2.26839946179261
6.2,-2.26375600302136
6.3,-2.25911335862114
6.4,-2.25447154172696
6.5,-2.24983056547384
6.6,-2.2451904429968
6.7,-2.24055118743085
6.8,-2.23591281191101
6.9,-2.2312753295723
7,-2.22663875354973
7.1,-2.22200309697832
7.2,-2.21736837299309
7.3,-2.21273459472905
7.4,-2.20810177532122
7.5,-2.20346992790462
7.6,-2.19883906561425
7.7,-2.19420920158515
7.8,-2.18958034895232
7.9,-2.18495252085079
8,-2.18032573041556
8.1,-2.17569999078166
8.2,-2.1710753150841
8.3,-2.16645171645789
8.4,-2.16182920803807
8.5,-2.15720780295963
8.6,-2.1525875143576
8.7,-2.147968355367
8.8,-2.14335033912284
8.9,-2.13873347876013
9,-2.1341177874139
9.1,-2.12950327821917
9.2,-2.12488996431093
9.3,-2.12027785882423
9.4,-2.11566697489406
9.5,-2.11105732565545
9.6,-2.10644892424341
9.7,-2.10184178379297
9.8,-2.09723591743913
9.9,-2.09263133831691
10,-2.08802805956134
10.1,-2.08342609430742
10.2,-2.07882545569017
10.3,-2.07422615684462
10.4,-2.06962821090577
10.5,-2.06503163100864
10.6,-2.06043643041009
10.7,-2.05584264215016
10.8,-2.05125034075422
10.9,-2.04665960597136
11,-2.04207051755069
11.1,-2.0374831552413
11.2,-2.0328975987923
11.3,-2.02831392795279
11.4,-2.02373222247186
11.5,-2.01915256209862
11.6,-2.01457502658216
11.7,-2.00999969567159
11.8,-2.005426649116
11.9,-2.00085596666451
12,-1.99628772806619
12.1,-1.99172201307016
12.2,-1.98715890142552
12.3,-1.98259847288137
12.4,-1.9780408071868
12.5,-1.97348598409091
12.6,-1.96893408334281
12.7,-1.9643851846916
12.8,-1.95983936788638
12.9,-1.95529671267624
13,-1.95075729881028
13.1,-1.94622120603762
13.2,-1.94168851410733
13.3,-1.93715930276854
13.4,-1.93263365177033
13.5,-1.92811164086181
13.6,-1.92359334979207
13.7,-1.91907885831022
13.8,-1.91456824616536
13.9,-1.91006159310658
14,-1.90555897888299
14.1,-1.90106048324368
14.2,-1.89656618593776
14.3,-1.89207616671433
14.4,-1.88759050532248
14.5,-1.88310928151132
14.6,-1.87863257502995
14.7,-1.87416046562746
14.8,-1.86969303305296
14.9,-1.86523035705555
15,-1.86077251738432
15.1,-1.85631959378838
15.2,-1.85187166601683
15.3,-1.84742881381876
15.4,-1.84299111694328
15.5,-1.83855865513948
15.6,-1.83413150815648
15.7,-1.82970975574336
15.8,-1.82529347764922
15.9,-1.82088275362317
16,-1.81647766341431
16.1,-1.81207828677174
16.2,-1.80768470344455
16.3,-1.80329699318185
16.4,-1.79891523573274
16.5,-1.79453951084631
16.6,-1.79016989827167
16.7,-1.78580647775792
16.8,-1.78144932905415
16.9,-1.77709853190948
17,-1.77275416607298
17.1,-1.76841631129378
17.2,-1.76408504732096
17.3,-1.75976045390363
17.4,-1.75544261079089
17.5,-1.75113159773183
17.6,-1.74682749447556
17.7,-1.74253038077118
17.8,-1.73824033636778
17.9,-1.73395744101448
18,-1.72968177446036
18.1,-1.72541341645452
18.2,-1.72115244674608
18.3,-1.71689894508412
18.4,-1.71265299121775
18.5,-1.70841466489606
18.6,-1.70418404586816
18.7,-1.69996121388315
18.8,-1.69574624869013
18.9,-1.6915392300382
19,-1.68734023767645
19.1,-1.68314935135399
19.2,-1.67896665081992
19.3,-1.67479221582333
19.4,-1.67062612611334
19.5,-1.66646846143903
19.6,-1.6623193015495
19.7,-1.65817872619387
19.8,-1.65404681512122
19.9,-1.64992364808066
20,-1.64580930482129
20.1,-1.64170386509221
20.2,-1.63760740864251
20.3,-1.6335200152213
20.4,-1.62944176457768
20.5,-1.62537273646075
20.6,-1.6213130106196
20.7,-1.61726266680335
20.8,-1.61322178476108
20.9,-1.6091904442419
21,-1.6051687249949
21.1,-1.6011567067692
21.2,-1.59715446726408
21.3,-1.59316202201222
21.4,-1.58917931467513
21.5,-1.58520628491083
21.6,-1.5812428723773
21.7,-1.57728901673255
21.8,-1.57334465763457
21.9,-1.56940973474137
22,-1.56548418771095
22.1,-1.5615679562013
22.2,-1.55766097987044
22.3,-1.55376319837634
22.4,-1.54987455137703
22.5,-1.54599497853049
22.6,-1.54212441949473
22.7,-1.53826281392775
22.8,-1.53441010148754
22.9,-1.53056622183211
23,-1.52673111461946
23.1,-1.52290471950758
23.2,-1.51908697615448
23.3,-1.51527782421816
23.4,-1.51147720335662
23.5,-1.50768505322785
23.6,-1.50390131348986
23.7,-1.50012592380064
23.8,-1.4963588238182
23.9,-1.49259995320054
24,-1.48884925160566
24.1,-1.48510665869156
24.2,-1.48137211411623
24.3,-1.47764555753767
24.4,-1.4739269286139
24.5,-1.4702161670029
24.6,-1.46651321236268
24.7,-1.46281800435124
24.8,-1.45913048262657
24.9,-1.45545058684668
25,-1.45177825666957
25.1,-1.44811343175323
25.2,-1.44445605175567
25.3,-1.44080605633489
25.4,-1.43716338514889
25.5,-1.43352797785566
25.6,-1.42989977411321
25.7,-1.42627871357954
25.8,-1.42266473591264
25.9,-1.41905778077052
26,-1.41545778781118
26.1,-1.41186469669261
26.2,-1.40827844707283
26.3,-1.40469897860982
26.4,-1.40112623096158
26.5,-1.39756014378613
26.6,-1.39400065674145
26.7,-1.39044770948555
26.8,-1.38690124167642
26.9,-1.38336119297208
