"FISHNET_AB","X","Y","te(X,Y)"
4222,-116.850504788,54.6662330564,-1.95183666012689
4223,-116.695470113,54.6685023314,-0.133559494378598
4224,-116.540414743,54.6705732719,0.808719078811843
4225,-116.385340568,54.6724458223,1.03081981919504
4226,-116.230249477,54.6741199325,0.78403888265432
4227,-116.075143361,54.6755955577,0.341021982583189
4228,-115.920024112,54.6768726583,-0.00894971752177659
4229,-115.764893624,54.6779512001,-0.034108034586978
4230,-115.60975379,54.6788311541,0.222560010992398
4231,-115.454606506,54.6795124969,0.642498865470386
4232,-115.299453666,54.67999521,1.10197286590958
4233,-115.144297167,54.6802792807,1.49644204886985
4234,-114.989138904,54.6803647013,1.81299353506984
4235,-114.833980774,54.6802514695,2.06399615621854
4236,-114.678824673,54.6799395882,2.26292345432763
4237,-114.523672497,54.679429066,2.42397963751321
4238,-114.368526141,54.6787199165,2.56172544136606
4292,-116.846430039,54.5763740686,-1.98865094932165
4293,-116.691736329,54.5786358616,-1.28132666356256
4294,-116.53702208,54.5806999732,-0.827205740712701
4295,-116.382289165,54.5825663484,-0.599377072345379
4296,-116.227539461,54.5842349372,-0.53393787077588
4297,-116.072774844,54.5857056953,-0.55153495532342
4298,-115.917997192,54.5869785833,-0.560384977014779
4299,-115.763208385,54.5880535673,-0.480578198824013
4300,-115.608410303,54.5889306184,-0.310553484431292
4301,-115.453604825,54.5896097134,-0.0723383850461791
4302,-115.298793834,54.5900908341,0.208431328682012
4303,-115.14397921,54.5903739676,0.508104109590805
4304,-114.989162836,54.5904591063,0.819228583496779
4305,-114.834346594,54.5903462481,1.13940564858531
4306,-114.679532366,54.5900353958,1.46694736770602
4307,-114.524722033,54.5895265578,1.80063164100079
4308,-114.369917477,54.5888197478,2.13945007386422
4362,-116.842377702,54.4865135326,-1.45429478660292
4363,-116.688023085,54.4887678763,-1.42138033929862
4364,-116.533648082,54.4908251889,-1.35062416498518
4365,-116.379254552,54.4926854159,-1.24856379921194
4366,-116.224844358,54.4943485076,-1.12252704007962
4367,-116.070419362,54.4958144199,-0.978928633116325
4368,-115.915981428,54.4970831138,-0.822622512432375
4369,-115.761532423,54.4981545555,-0.655583254861053
4370,-115.607074211,54.4990287165,-0.473984856979384
4371,-115.452608658,54.4997055736,-0.271677099530599
4372,-115.298137634,54.5001851087,-0.04179627277124
4373,-115.143663004,54.5004673091,0.220856196207813
4374,-114.989186637,54.5005521672,0.513735614962756
4375,-114.834710401,54.5004396809,0.831844255028759
