"WII","s(WII)"
0,0.0993194995843632
0.01,0.220293151545251
0.02,-0.154123272496495
0.03,-0.184382502617543
0.04,0.153757133056281
0.05,0.409487291883772
0.06,0.526228789222066
0.07,0.529306835889678
0.08,0.444248220130686
0.09,0.297942661095996
0.1,0.11784441600145
0.11,-0.0685904497780956
0.12,-0.23483427186964
0.13,-0.370078966482105
0.14,-0.47662624980949
0.15,-0.55717888414907
0.16,-0.614439631798121
0.17,-0.651111255053915
0.18,-0.669896516213729
0.19,-0.673392981597814
0.2,-0.663553719429718
0.21,-0.642087829446935
0.22,-0.61070395167789
0.23,-0.571110726151007
0.24,-0.525016792894713
0.25,-0.474130791937431
0.26,-0.420161363307588
0.27,-0.364817147033607
0.28,-0.309806783143914
0.29,-0.256838911666934
0.3,-0.207622172631091
0.31,-0.163865206064812
0.32,-0.127071633180575
0.33,-0.0972687554479327
0.34,-0.0738371034652655
0.35,-0.0561544634593045
0.36,-0.0435986216567813
0.37,-0.0355473642844271
0.38,-0.0313784775689735
0.39,-0.0304697477371521
0.4,-0.0321989610156941
0.41,-0.0359439036313312
0.42,-0.0410823618107946
0.43,-0.046992121780816
0.44,-0.0530509697681268
0.45,-0.0586366919994584
0.46,-0.0631270747015423
0.47,-0.0659755679151407
0.48,-0.0670726083602474
0.49,-0.0664651634817551
0.5,-0.0642004003572457
0.51,-0.0603254860643017
0.52,-0.0548875876805053
0.53,-0.0479338722834388
0.54,-0.0395115069506845
0.55,-0.0296676587598246
0.56,-0.0184494947884415
0.57,-0.00590418211411736
0.58,0.00792111218556538
0.59,0.0229792210330247
0.6,0.0392229773506782
0.61,0.0566052140609438
0.62,0.0750787640862389
0.63,0.0945964603489813
0.64,0.115111135771589
0.65,0.136575623276479
0.66,0.15894275578607
0.67,0.18216536622278
0.68,0.206196287509025
0.69,0.230988352567224
0.7,0.256494394319795
0.71,0.282667245689154
0.72,0.309459739597721
0.73,0.336824708967912
0.74,0.364714986722145
0.75,0.393083405782839
0.76,0.421882799072411
0.77,0.451065999513278
0.78,0.480585840027858
0.79,0.51039515353857
0.8,0.54044677296783
0.81,0.570693531238057
0.82,0.601088261271668
0.83,0.631583795991081
0.84,0.662132968318713
0.85,0.692693660620242
